"time","analysis_ET_mm_day","analysis_VPD","analysis_log10_psi_soil"
2000-11-01,0.193127168474292,-2.54578063182839,-0.846487528452677
2000-12-01,0.108300910987638,-0.937592829115562,-0.0533167604261875
2001-01-01,NA,NA,NA
2001-02-01,-0.0535823845035024,-0.206199920489635,-0.152690241941758
2001-03-01,-0.0412880707914876,2.26984172564187,-0.110115907103964
2001-04-01,0.191359533851624,-2.17221600409747,-0.139117599379912
2001-05-01,-0.00852360223739601,7.80126678774718,-0.0272021322157334
2001-06-01,NA,NA,NA
2001-07-01,0.0105079142292918,-2.54778852229589,0.540989427548091
2001-08-01,0.158952309751085,-2.23749686587881,0.46087123740583
2001-09-01,0.000457461072976645,-1.79393344673561,0.526735734311436
2001-10-01,-0.315638897680889,0.553761251459148,0.707898372278989
2001-11-01,0.00651188516335943,-1.04096465960625,-0.193521659718243
2001-12-01,0.114247520749697,-1.04374000653488,-0.652173597658738
2002-01-01,-0.0639919594512676,-1.19622035730767,0.00836370857138125
2002-02-01,-0.0986380762411965,-0.321098730013474,0.136234445006843
2002-03-01,-0.0373000369359329,-0.28273085500329,-0.19854663332945
2002-04-01,-0.0012758445214418,-2.08606044854191,0.366245199987347
2002-05-01,-0.219463492504677,-0.997805792897982,0.331584900727969
2002-06-01,-0.343146232253146,-0.702934794398196,-0.190638016664832
2002-07-01,0.0473298699144734,-0.0279565330485738,-0.180062382889512
2002-08-01,0.192741791415601,-2.28422401641644,-0.177422926488882
2002-09-01,-0.0887045870840734,4.39806794215328,-0.0297574960107116
2002-10-01,-0.393648019117926,1.29650990737313,0.416051388574912
2002-11-01,-0.0239527267093722,-0.484049381828472,-0.206985032982841
2002-12-01,0.132771990156325,-0.15459618933058,-0.193855192274803
2003-01-01,-0.0536143944259139,-1.57922102935068,0.0207931639976753
2003-02-01,-0.0547787665510584,-0.338368075251569,0.240142286224024
2003-03-01,0.175578681584146,-0.476694564680709,0.0305095264976862
2003-04-01,-0.0896157120420433,-3.64840975409747,-0.679264496283634
2003-05-01,0.650419325738514,-2.72312770150013,-0.688558055547895
2003-06-01,-0.17678262671104,-1.07760423884264,-0.117837763109143
2003-07-01,0.0249069257209625,4.368391585231,-0.249658617687821
2003-08-01,0.494778326205857,-4.17651165082505,-0.542581765881884
2003-09-01,-0.0586448791847841,1.13352905326439,-0.430728219753556
2003-10-01,-0.379015487541099,3.85687549877097,0.0450674476708164
2003-11-01,-0.00751253209631086,-1.83882993738403,-0.282225560821882
2003-12-01,0.213285448423869,-1.15304645814779,-0.319774768712771
2004-01-01,-0.0889171593321153,-1.73321766913563,0.0233351190081934
2004-02-01,-0.244807112577995,-0.695415437731043,0.0708746459812755
2004-03-01,0.243754200734945,1.08091363424402,0.15347162040705
2004-04-01,-0.375365615886919,2.4447131625692,0.59639922218627
2004-05-01,-1.14841218751261,0.255210336134274,0.812294302014186
2004-06-01,-0.640168471823758,-2.41163965550931,0.588915761297224
2004-07-01,0.00899374491859257,-4.89355397928513,0.359158475195972
2004-08-01,0.177272368215573,-3.37767294114763,0.317879482706171
2004-09-01,0.00531822945789553,1.2837901643755,0.391061171428817
2004-10-01,0.0787957089667674,-2.90335299585268,-0.170733462227449
2004-11-01,0.26569192336071,-3.09896257627292,-1.00990408685447
2004-12-01,0.534588672092338,-0.23175613556714,-0.327665198752237
2005-01-01,NA,NA,NA
2005-02-01,NA,NA,NA
2005-03-01,-0.0433426909975523,-1.01139684962695,-0.0621810697892524
2005-04-01,0.428368496017333,-2.25274586520858,-0.116669608163313
2005-05-01,0.900293898983407,-4.10995901870444,-0.300649587454224
2005-06-01,0.331089190808079,-5.15048687773153,0.241656064500629
2005-07-01,0.173223720742161,2.1251294884568,0.194210372186367
2005-08-01,0.249556027293415,0.885158376056676,0.434672136686987
2005-09-01,0.0272999098138858,-3.67261539118006,0.732994299472375
