"Lag","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy","TEnorm","TEnormcrit","TE_significant","MI_significant","Site_ID","scale","driver","Lag_time","Lag_unit","record_start","record_end","n_grid","n_joint","n_valid_triplets","target_end","target_start"
0,0.0266044988784784,0.00276379738317168,0.0372685837314433,0.00960087172593331,0.0253950256803357,0.00892561630051053,0.702196010812853,1.44930147214191,2.5714859501498,0.662448214569485,TRUE,TRUE,"US-Var","6_hourly","Soil",0,"hours","2000-10-30","2021-10-26",30665,29868,29739,"2021-10-26","2000-10-31"
1,0.024140832828067,0.00276379738317168,0.0346290614580216,0.00960087172593331,-0.0625121825743749,0.00892561630051053,0.703682073864794,1.44930147214191,2.38936219438484,0.662448214569485,TRUE,TRUE,"US-Var","6_hourly","Soil",6,"hours","2000-10-30","2021-10-26",30665,29868,29739,"2021-10-26","2000-10-31"
2,0.0227760775358483,0.00276379738317168,0.0346693340010589,0.00960087172593331,-0.0297917037852503,0.00892561630051053,0.702599618201324,1.44972903914811,2.39143543826861,0.662252839439222,TRUE,TRUE,"US-Var","6_hourly","Soil",12,"hours","2000-10-30","2021-10-26",30665,29868,29646,"2021-10-26","2000-10-31 06:00:00"
3,0.0223256641209901,0.00276379738317168,0.0315121897034523,0.00960087172593331,-0.0371620703555685,0.00892561630051053,0.701222321436412,1.44841727326572,2.17562923924556,0.662852611822723,TRUE,TRUE,"US-Var","6_hourly","Soil",18,"hours","2000-10-30","2021-10-26",30665,29868,29582,"2021-10-26","2000-10-31 12:00:00"
4,0.0199324691309655,0.00276379738317168,0.0289389299166167,0.00960087172593331,-0.01568439981785,0.00892561630051053,0.700054566780128,1.44730266023669,1.99950782318635,0.663363095343389,TRUE,TRUE,"US-Var","6_hourly","Soil",24,"hours","2000-10-30","2021-10-26",30665,29868,29581,"2021-10-26","2000-10-31 18:00:00"
5,0.0187355489800991,0.00276379738317168,0.0291773981929082,0.00960087172593331,0.014817554898692,0.00892561630051053,0.700014348931435,1.44901815519661,2.01359783438664,0.662577738691659,TRUE,TRUE,"US-Var","6_hourly","Soil",30,"hours","2000-10-30","2021-10-26",30665,29868,29566,"2021-10-26","2000-11-01"
6,0.0201735891715198,0.00276379738317168,0.0293797317116695,0.00960087172593331,0.00498230652177744,0.00892561630051053,0.700069155530097,1.44943294003093,2.02698109724501,0.662388128541391,TRUE,TRUE,"US-Var","6_hourly","Soil",36,"hours","2000-10-30","2021-10-26",30665,29868,29532,"2021-10-26","2000-11-01 06:00:00"
7,0.018503369656528,0.00276379738317168,0.0273991464682277,0.00960087172593331,-0.0137573154445107,0.00892561630051053,0.698637562404737,1.44835561530166,1.89174165369057,0.662880830129118,TRUE,TRUE,"US-Var","6_hourly","Soil",42,"hours","2000-10-30","2021-10-26",30665,29868,29515,"2021-10-26","2000-11-01 12:00:00"
8,0.0162323785930854,0.00276379738317168,0.0258099440509634,0.00960087172593331,-0.0180356349131114,0.00892561630051053,0.670794873175994,1.44868022181282,1.78161775541229,0.662732298085713,TRUE,TRUE,"US-Var","6_hourly","Soil",48,"hours","2000-10-30","2021-10-26",30665,29868,29516,"2021-10-26","2000-11-01 18:00:00"
9,0.0152888748071098,0.00276379738317168,0.0254943453675578,0.00960087172593331,0.0260993813404313,0.00892561630051053,0.669764482183973,1.44952795642576,1.75880328865279,0.662344709073918,TRUE,TRUE,"US-Var","6_hourly","Soil",54,"hours","2000-10-30","2021-10-26",30665,29868,29504,"2021-10-26","2000-11-02"
10,0.015098913822658,0.00276379738317168,0.0239666742421294,0.00960087172593331,0.0181814164852065,0.00892561630051053,0.669176008639426,1.44959675094009,1.65333388244604,0.66231327572354,TRUE,TRUE,"US-Var","6_hourly","Soil",60,"hours","2000-10-30","2021-10-26",30665,29868,29481,"2021-10-26","2000-11-02 06:00:00"
11,0.0135602050682011,0.00276379738317168,0.0213407531155316,0.00960087172593331,0.0200424539062332,0.00892561630051053,0.668219277830633,1.44837117248025,1.47343122543559,0.662873710023678,TRUE,TRUE,"US-Var","6_hourly","Soil",66,"hours","2000-10-30","2021-10-26",30665,29868,29465,"2021-10-26","2000-11-02 12:00:00"
12,0.0123286729954812,0.00276379738317168,0.0216640061238031,0.00960087172593331,0.000969928720288141,0.00892561630051053,0.667950444334641,1.44903870392113,1.49506055740126,0.662568342719429,TRUE,TRUE,"US-Var","6_hourly","Soil",72,"hours","2000-10-30","2021-10-26",30665,29868,29462,"2021-10-26","2000-11-02 18:00:00"
13,0.0108513007464457,0.00276379738317168,0.0209389630105443,0.00960087172593331,-0.00366558168346947,0.00892561630051053,0.668475228416567,1.45043786157901,1.44363047636864,0.661929199468176,TRUE,TRUE,"US-Var","6_hourly","Soil",78,"hours","2000-10-30","2021-10-26",30665,29868,29446,"2021-10-26","2000-11-03"
14,0.0136253871447138,0.00276379738317168,0.021453201891767,0.00960087172593331,-0.00226356323157865,0.00892561630051053,0.668465459342039,1.45034810217057,1.47917605846903,0.66197016506346,TRUE,TRUE,"US-Var","6_hourly","Soil",84,"hours","2000-10-30","2021-10-26",30665,29868,29425,"2021-10-26","2000-11-03 06:00:00"
15,0.0110984806903649,0.00276379738317168,0.0178096989573313,0.00960087172593331,-0.00850835771831636,0.00892561630051053,0.667325491820501,1.44890682425846,1.22918179824615,0.662628649764762,TRUE,TRUE,"US-Var","6_hourly","Soil",90,"hours","2000-10-30","2021-10-26",30665,29868,29410,"2021-10-26","2000-11-03 12:00:00"
16,0.00952095081670734,0.00276379738317168,0.0173464687853704,0.00960087172593331,0.0130697550608455,0.00892561630051053,0.667397782798887,1.44762214082637,1.19827324383614,0.663216695515078,TRUE,TRUE,"US-Var","6_hourly","Soil",96,"hours","2000-10-30","2021-10-26",30665,29868,29405,"2021-10-26","2000-11-03 18:00:00"
17,0.0103338516622169,0.00276379738317168,0.0204265922347648,0.00960087172593331,-0.00433380635033217,0.00892561630051053,0.666627562848259,1.44812182272469,1.41055758667675,0.662987849176178,TRUE,TRUE,"US-Var","6_hourly","Soil",102,"hours","2000-10-30","2021-10-26",30665,29868,29391,"2021-10-26","2000-11-04"
18,0.0113426251343745,0.00276379738317168,0.0199415736619524,0.00960087172593331,-0.00608841653158049,0.00892561630051053,0.666153434273888,1.44901294608537,1.37621777057453,0.66258012061734,TRUE,TRUE,"US-Var","6_hourly","Soil",108,"hours","2000-10-30","2021-10-26",30665,29868,29376,"2021-10-26","2000-11-04 06:00:00"
19,0.00969263213534077,0.00276379738317168,0.0171655340456902,0.00960087172593331,-0.00115475402710189,0.00892561630051053,0.664904396605409,1.44731329609297,1.18602752369018,0.663358220493856,TRUE,TRUE,"US-Var","6_hourly","Soil",114,"hours","2000-10-30","2021-10-26",30665,29868,29365,"2021-10-26","2000-11-04 12:00:00"
20,0.00892694501286373,0.00276379738317168,0.0164674065715888,0.00960087172593331,-0.00229911201001961,0.00892561630051053,0.663955598520617,1.44710614484242,1.13795429798151,0.663453179309026,TRUE,TRUE,"US-Var","6_hourly","Soil",120,"hours","2000-10-30","2021-10-26",30665,29868,29360,"2021-10-26","2000-11-04 18:00:00"
21,0.00854959761385121,0.00276379738317168,0.0167999765886551,0.00960087172593331,-0.0036155844214499,0.00892561630051053,0.663576137061448,1.44810003391101,1.16013923038741,0.662997824812102,TRUE,TRUE,"US-Var","6_hourly","Soil",126,"hours","2000-10-30","2021-10-26",30665,29868,29351,"2021-10-26","2000-11-05"
22,0.0108117053723857,0.00276379738317168,0.0175102393769189,0.00960087172593331,0.000695130315764284,0.00892561630051053,0.66349786877393,1.44909822924059,1.20835420426228,0.662541126074298,TRUE,TRUE,"US-Var","6_hourly","Soil",132,"hours","2000-10-30","2021-10-26",30665,29868,29340,"2021-10-26","2000-11-05 06:00:00"
23,0.008525397736177,0.00276379738317168,0.0159077803026064,0.00960087172593331,6.17226369460322e-05,0.00892561630051053,0.664341349538074,1.44813163846184,1.09850374648973,0.662983355306776,TRUE,TRUE,"US-Var","6_hourly","Soil",138,"hours","2000-10-30","2021-10-26",30665,29868,29328,"2021-10-26","2000-11-05 12:00:00"
24,0.00993596810397035,0.00276379738317168,0.0181408441734412,0.00960087172593331,-0.00485261758906484,0.00892561630051053,0.663567436915916,1.44706244909679,1.25363243201868,0.663473213054892,TRUE,TRUE,"US-Var","6_hourly","Soil",144,"hours","2000-10-30","2021-10-26",30665,29868,29323,"2021-10-26","2000-11-05 18:00:00"
25,0.00874167441378315,0.00276379738317168,0.0174914331553468,0.00960087172593331,0.00380266867195183,0.00892561630051053,0.662957977652894,1.44693619963134,1.20886001468506,0.6635311030562,TRUE,TRUE,"US-Var","6_hourly","Soil",150,"hours","2000-10-30","2021-10-26",30665,29868,29309,"2021-10-26","2000-11-06"
26,0.00982809369460957,0.00276379738317168,0.0177906418477045,0.00960087172593331,-0.00041042036126603,0.00892561630051053,0.663261412135702,1.44749154484037,1.22906706509754,0.663276532436817,TRUE,TRUE,"US-Var","6_hourly","Soil",156,"hours","2000-10-30","2021-10-26",30665,29868,29293,"2021-10-26","2000-11-06 06:00:00"
27,0.00812472572032652,0.00276379738317168,0.0158081450291179,0.00960087172593331,-0.000881597563554634,0.00892561630051053,0.662573770038013,1.446334656786,1.09297975782771,0.663807071267177,TRUE,TRUE,"US-Var","6_hourly","Soil",162,"hours","2000-10-30","2021-10-26",30665,29868,29283,"2021-10-26","2000-11-06 12:00:00"
28,0.00952747729407433,0.00276379738317168,0.0181830309074358,0.00960087172593331,0.0134638115256778,0.00892561630051053,0.662808163351203,1.4463387643086,1.25717648977817,0.663805186091576,TRUE,TRUE,"US-Var","6_hourly","Soil",168,"hours","2000-10-30","2021-10-26",30665,29868,29277,"2021-10-26","2000-11-06 18:00:00"
29,0.00859742899144589,0.00276379738317168,0.0172414556920235,0.00960087172593331,-0.00182462785613296,0.00892561630051053,0.662318085590621,1.44738282947336,1.19121598936592,0.66332635225655,TRUE,TRUE,"US-Var","6_hourly","Soil",174,"hours","2000-10-30","2021-10-26",30665,29868,29269,"2021-10-26","2000-11-07"
30,0.0113180810434992,0.00276379738317168,0.0200973000267819,0.00960087172593331,-0.00634690841672455,0.00892561630051053,0.663492447549408,1.44749226236877,1.38842193145083,0.663276203647665,TRUE,TRUE,"US-Var","6_hourly","Soil",180,"hours","2000-10-30","2021-10-26",30665,29868,29257,"2021-10-26","2000-11-07 06:00:00"
31,0.00841510190276074,0.00276379738317168,0.0161228834204437,0.00960087172593331,0.0087839066088754,0.00892561630051053,0.664223295224326,1.4469672970124,1.11425347716794,0.663516842830971,TRUE,TRUE,"US-Var","6_hourly","Soil",186,"hours","2000-10-30","2021-10-26",30665,29868,29248,"2021-10-26","2000-11-07 12:00:00"
32,0.0091099936434742,0.00276379738317168,0.0178389065823694,0.00960087172593331,-0.0130117200111243,0.00892561630051053,0.665530940144335,1.44551294069566,1.23408833502275,0.664184418944935,TRUE,TRUE,"US-Var","6_hourly","Soil",192,"hours","2000-10-30","2021-10-26",30665,29868,29242,"2021-10-26","2000-11-07 18:00:00"
33,0.00762409638126371,0.00276379738317168,0.0160566011519347,0.00960087172593331,8.62270498925751e-05,0.00892561630051053,0.664928669589623,1.44622102280042,1.11024531512087,0.663859228608258,TRUE,TRUE,"US-Var","6_hourly","Soil",198,"hours","2000-10-30","2021-10-26",30665,29868,29234,"2021-10-26","2000-11-08"
34,0.0101119871731017,0.00276379738317168,0.0179003650062541,0.00960087172593331,0.0157940427869714,0.00892561630051053,0.666558778260435,1.44696505685481,1.23709725549028,0.663517870072288,TRUE,TRUE,"US-Var","6_hourly","Soil",204,"hours","2000-10-30","2021-10-26",30665,29868,29222,"2021-10-26","2000-11-08 06:00:00"
35,0.00772729729396282,0.00276379738317168,0.0159386585177197,0.00960087172593331,-0.00364209498026549,0.00892561630051053,0.666038864947383,1.44589517319892,1.10233845531532,0.664008837147731,TRUE,TRUE,"US-Var","6_hourly","Soil",210,"hours","2000-10-30","2021-10-26",30665,29868,29215,"2021-10-26","2000-11-08 12:00:00"
36,0.00871523001955277,0.00276379738317168,0.0188969157808687,0.00960087172593331,-0.00564778795858046,0.00892561630051053,0.665831451211524,1.4445309670121,1.30816965592337,0.664635923021569,TRUE,TRUE,"US-Var","6_hourly","Soil",216,"hours","2000-10-30","2021-10-26",30665,29868,29212,"2021-10-26","2000-11-08 18:00:00"
37,0.0087418237048893,0.00276379738317168,0.0168416729029941,0.00960087172593331,-0.00449573255336655,0.00892561630051053,0.664878583489538,1.44567444196586,1.16496995548268,0.664110220616325,TRUE,TRUE,"US-Var","6_hourly","Soil",222,"hours","2000-10-30","2021-10-26",30665,29868,29206,"2021-10-26","2000-11-09"
38,0.00868071133240722,0.00276379738317168,0.0177642879925446,0.00960087172593331,-0.00282764988508924,0.00892561630051053,0.665835918053063,1.44555829878646,1.22888769048316,0.664163578459145,TRUE,TRUE,"US-Var","6_hourly","Soil",228,"hours","2000-10-30","2021-10-26",30665,29868,29193,"2021-10-26","2000-11-09 06:00:00"
39,0.00775214328231133,0.00276379738317168,0.0171507758100775,0.00960087172593331,-0.00857975485422911,0.00892561630051053,0.666311220621074,1.44461120290905,1.18722433936138,0.664599008134492,TRUE,TRUE,"US-Var","6_hourly","Soil",234,"hours","2000-10-30","2021-10-26",30665,29868,29185,"2021-10-26","2000-11-09 12:00:00"
40,0.0076332260298968,0.00276379738317168,0.0173643137848432,0.00960087172593331,0.0122456996589797,0.00892561630051053,0.666781904034624,1.44302843949471,1.20332443281045,0.665327963272516,TRUE,TRUE,"US-Var","6_hourly","Soil",240,"hours","2000-10-30","2021-10-26",30665,29868,29179,"2021-10-26","2000-11-09 18:00:00"
41,0.00776650595609185,0.00276379738317168,0.0173412177279872,0.00960087172593331,0.0119799939260858,0.00892561630051053,0.665899958609074,1.44435704209636,1.20061849131278,0.664715956381425,TRUE,TRUE,"US-Var","6_hourly","Soil",246,"hours","2000-10-30","2021-10-26",30665,29868,29175,"2021-10-26","2000-11-10"
