"Lag","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy","TEnorm","TEnormcrit","TE_significant","MI_significant","Site_ID","scale","driver","Lag_time","Lag_unit","record_start","record_end","n_grid","n_joint","n_valid_triplets","target_end","target_start"
0,0.0659845490859921,0.00304417337912285,0.109816210689669,0.0152174654064262,0.270348341271849,0.0101894598653835,2.215689225718,1.44930147214191,7.57718202875849,1.04998619672527,TRUE,TRUE,"US-Var","6_hourly","VPD",0,"hours","2000-10-30","2021-10-26",30665,29868,29739,"2021-10-26","2000-10-31"
1,0.0335569850237114,0.00304417337912285,0.040991491305622,0.0152174654064262,-0.161649645522259,0.0101894598653835,2.21681290102189,1.44930147214191,2.82836194494725,1.04998619672527,TRUE,TRUE,"US-Var","6_hourly","VPD",6,"hours","2000-10-30","2021-10-26",30665,29868,29739,"2021-10-26","2000-10-31"
2,0.00779021543461944,0.00304417337912285,0.0341660398108745,0.0152174654064262,-0.0120685680762774,0.0101894598653835,2.21665411356424,1.44972903914811,2.35671900667391,1.04967652544011,TRUE,TRUE,"US-Var","6_hourly","VPD",12,"hours","2000-10-30","2021-10-26",30665,29868,29646,"2021-10-26","2000-10-31 06:00:00"
3,0.00599396799877461,0.00304417337912285,0.0225666326033362,0.0152174654064262,-0.00231144659644576,0.0101894598653835,2.21641913727877,1.44841727326572,1.55802012443939,1.05062716989805,TRUE,TRUE,"US-Var","6_hourly","VPD",18,"hours","2000-10-30","2021-10-26",30665,29868,29582,"2021-10-26","2000-10-31 12:00:00"
4,0.0115951787788391,0.00304417337912285,0.0327195447198561,0.0152174654064262,-0.0929902386854744,0.0101894598653835,2.21617706417967,1.44730266023669,2.26072580523725,1.05143629072979,TRUE,TRUE,"US-Var","6_hourly","VPD",24,"hours","2000-10-30","2021-10-26",30665,29868,29581,"2021-10-26","2000-10-31 18:00:00"
5,0.0108808287895781,0.00304417337912285,0.0258250456723665,0.0152174654064262,0.0425785138631223,0.0101894598653835,2.21697687498244,1.44901815519661,1.78224445151016,1.05019149358839,TRUE,TRUE,"US-Var","6_hourly","VPD",30,"hours","2000-10-30","2021-10-26",30665,29868,29566,"2021-10-26","2000-11-01"
6,0.014725984881693,0.00304417337912285,0.0273471487922157,0.0152174654064262,0.0726779090195814,0.0101894598653835,2.21678527255881,1.44943294003093,1.88674812314064,1.04989095984679,TRUE,TRUE,"US-Var","6_hourly","VPD",36,"hours","2000-10-30","2021-10-26",30665,29868,29532,"2021-10-26","2000-11-01 06:00:00"
7,0.0069775091106381,0.00304417337912285,0.0209092116379805,0.0152174654064262,-0.0332725097174259,0.0101894598653835,2.21669066788287,1.44835561530166,1.44365178117017,1.05067189615975,TRUE,TRUE,"US-Var","6_hourly","VPD",42,"hours","2000-10-30","2021-10-26",30665,29868,29515,"2021-10-26","2000-11-01 12:00:00"
8,0.0134217904270448,0.00304417337912285,0.0352913384992037,0.0152174654064262,-0.114601495318196,0.0101894598653835,2.21579730548584,1.44868022181282,2.43610273460085,1.05043647157574,TRUE,TRUE,"US-Var","6_hourly","VPD",48,"hours","2000-10-30","2021-10-26",30665,29868,29516,"2021-10-26","2000-11-01 18:00:00"
9,0.0152346142177611,0.00304417337912285,0.0292503234285597,0.0152174654064262,0.0618983125661844,0.0101894598653835,2.216569241459,1.44952795642576,2.01792061332056,1.04982213961222,TRUE,TRUE,"US-Var","6_hourly","VPD",54,"hours","2000-10-30","2021-10-26",30665,29868,29504,"2021-10-26","2000-11-02"
10,0.0122787870019261,0.00304417337912285,0.0222456053195037,0.0152174654064262,0.0238559321879049,0.0101894598653835,2.2173629921173,1.44959675094009,1.53460645555925,1.04977231747777,TRUE,TRUE,"US-Var","6_hourly","VPD",60,"hours","2000-10-30","2021-10-26",30665,29868,29481,"2021-10-26","2000-11-02 06:00:00"
11,0.00662859429673901,0.00304417337912285,0.0188280260870179,0.0152174654064262,-0.00139221069101273,0.0101894598653835,2.21680903275299,1.44837117248025,1.29994482386556,1.05066061073054,TRUE,TRUE,"US-Var","6_hourly","VPD",66,"hours","2000-10-30","2021-10-26",30665,29868,29465,"2021-10-26","2000-11-02 12:00:00"
12,0.00543261103808312,0.00304417337912285,0.0222153355566244,0.0152174654064262,0.00859652204724942,0.0101894598653835,2.21548617927899,1.44903870392113,1.53310850127807,1.05017660089047,TRUE,TRUE,"US-Var","6_hourly","VPD",72,"hours","2000-10-30","2021-10-26",30665,29868,29462,"2021-10-26","2000-11-02 18:00:00"
13,0.0149957994955621,0.00304417337912285,0.0293598987598305,0.0152174654064262,-0.00426988376409403,0.0101894598653835,2.21644333709278,1.45043786157901,2.02420934653953,1.04916355326382,TRUE,TRUE,"US-Var","6_hourly","VPD",78,"hours","2000-10-30","2021-10-26",30665,29868,29446,"2021-10-26","2000-11-03"
14,0.0143112566884951,0.00304417337912285,0.019649120753761,0.0152174654064262,-0.000250634604883571,0.0101894598653835,2.21659190543063,1.45034810217057,1.3547865318922,1.04922848408957,TRUE,TRUE,"US-Var","6_hourly","VPD",84,"hours","2000-10-30","2021-10-26",30665,29868,29425,"2021-10-26","2000-11-03 06:00:00"
15,0.00780143550991808,0.00304417337912285,0.0179626692928156,0.0152174654064262,-0.00665370646884566,0.0101894598653835,2.21555400180377,1.44890682425846,1.23973943610962,1.05027218808321,TRUE,TRUE,"US-Var","6_hourly","VPD",90,"hours","2000-10-30","2021-10-26",30665,29868,29410,"2021-10-26","2000-11-03 12:00:00"
16,0.00630363891594188,0.00304417337912285,0.0250357689823222,0.0152174654064262,0.00545008486428112,0.0101894598653835,2.21451276892684,1.44762214082637,1.72944087246625,1.05120424572529,TRUE,TRUE,"US-Var","6_hourly","VPD",96,"hours","2000-10-30","2021-10-26",30665,29868,29405,"2021-10-26","2000-11-03 18:00:00"
17,0.0153456875410938,0.00304417337912285,0.0301745620269376,0.0152174654064262,-0.000527348315176166,0.0101894598653835,2.21628671276627,1.44812182272469,2.08370328748745,1.05084152228256,TRUE,TRUE,"US-Var","6_hourly","VPD",102,"hours","2000-10-30","2021-10-26",30665,29868,29391,"2021-10-26","2000-11-04"
