"Lag","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy","TEnorm","TEnormcrit","TE_significant","MI_significant","Site_ID","scale","driver","Lag_time","Lag_unit","record_start","record_end","n_grid","n_joint","n_valid_triplets","target_end","target_start"
0,0.225026631460685,0.171651966998124,0.502442197279248,0.595702222493575,-0.341267925202105,0.0717623162059008,2.73715733656898,2.6519187799013,18.9463644621103,22.4630643671427,FALSE,TRUE,"US-Var","biweekly","Soil",0,"weeks","2000-10-30","2021-10-04",547,537,529,"2021-10-04","2000-11-13"
1,0.254558469452165,0.171651966998124,0.410126268579009,0.595702222493575,-0.397835258158053,0.0717623162059008,2.74058377821451,2.65378532447028,15.4543875420998,22.4472649313667,FALSE,TRUE,"US-Var","biweekly","Soil",2,"weeks","2000-10-30","2021-10-04",547,537,528,"2021-10-04","2000-11-27"
2,0.239708874715463,0.171651966998124,0.354253114350242,0.595702222493575,-0.327371067838957,0.0717623162059008,2.74419156742714,2.65838811565614,13.3258613467284,22.4083992470958,FALSE,TRUE,"US-Var","biweekly","Soil",4,"weeks","2000-10-30","2021-10-04",547,537,521,"2021-10-04","2000-12-11"
3,0.183143280448768,0.171651966998124,0.410059259358576,0.595702222493575,-0.217208388920667,0.0717623162059008,2.73494566099083,2.65649374239641,15.4361086124247,22.424378909178,FALSE,TRUE,"US-Var","biweekly","Soil",6,"weeks","2000-10-30","2021-10-04",547,537,518,"2021-10-04","2000-12-25"
4,0.149532828700583,0.171651966998124,0.385663639666386,0.595702222493575,-0.130983714091582,0.0717623162059008,2.71976398726923,2.65460968665291,14.5280732457755,22.4402941603318,FALSE,FALSE,"US-Var","biweekly","Soil",8,"weeks","2000-10-30","2021-10-04",547,537,515,"2021-10-04","2001-01-08"
5,0.149298307420046,0.171651966998124,0.436633209138225,0.595702222493575,-0.029286652941225,0.0717623162059008,2.70658571830415,2.65143590010618,16.4678018096059,22.4671553428736,FALSE,FALSE,"US-Var","biweekly","Soil",10,"weeks","2000-10-30","2021-10-04",547,537,514,"2021-10-04","2001-03-19"
6,0.139292871729762,0.171651966998124,0.40964601739802,0.595702222493575,0.0179163708977077,0.0717623162059008,2.70864070244492,2.65511885044125,15.4285378724173,22.4359908557229,FALSE,FALSE,"US-Var","biweekly","Soil",12,"weeks","2000-10-30","2021-10-04",547,537,514,"2021-10-04","2001-03-19"
7,0.164416617726175,0.171651966998124,0.426310536107639,0.595702222493575,0.0201995323658336,0.0717623162059008,2.71425821979699,2.6323396452755,16.1951189267228,22.6301428678756,FALSE,FALSE,"US-Var","biweekly","Soil",14,"weeks","2000-10-30","2021-10-04",547,537,514,"2021-10-04","2001-03-19"
8,0.212667749384447,0.171651966998124,0.424832087331641,0.595702222493575,-0.000931481794473245,0.0717623162059008,2.72750772561444,2.64016752689404,16.0911034244643,22.5630463379865,FALSE,TRUE,"US-Var","biweekly","Soil",16,"weeks","2000-10-30","2021-10-04",547,537,515,"2021-10-04","2001-03-19"
9,0.185621692079206,0.171651966998124,0.423648972113831,0.595702222493575,-0.0811157821051435,0.0717623162059008,2.74218048651911,2.64243467868588,16.0325239269308,22.5436877323237,FALSE,TRUE,"US-Var","biweekly","Soil",18,"weeks","2000-10-30","2021-10-04",547,537,515,"2021-10-04","2001-03-19"
10,0.135472594167088,0.171651966998124,0.420894609471015,0.595702222493575,-0.103039161769496,0.0717623162059008,2.74536077770657,2.6601041310031,15.8224862164437,22.393943738922,FALSE,FALSE,"US-Var","biweekly","Soil",20,"weeks","2000-10-30","2021-10-04",547,537,515,"2021-10-04","2001-04-02"
11,0.146568237340611,0.171651966998124,0.506569736626525,0.595702222493575,-0.0656698381288118,0.0717623162059008,2.74798015881853,2.66660853178456,18.9967792643158,22.3393203536672,FALSE,FALSE,"US-Var","biweekly","Soil",22,"weeks","2000-10-30","2021-10-04",547,537,513,"2021-10-04","2001-04-16"
12,0.161940358888568,0.171651966998124,0.470423998638297,0.595702222493575,-0.030425772650284,0.0717623162059008,2.74186238749722,2.69136407041514,17.4790175662015,22.1338401980557,FALSE,FALSE,"US-Var","biweekly","Soil",24,"weeks","2000-10-30","2021-10-04",547,537,512,"2021-10-04","2001-04-30"
13,0.180445028628119,0.171651966998124,0.456731475317663,0.595702222493575,-0.00727983610910214,0.0717623162059008,2.74203507066106,2.65467436716413,17.2048022524725,22.4397474078878,FALSE,TRUE,"US-Var","biweekly","Soil",26,"weeks","2000-10-30","2021-10-04",547,537,510,"2021-10-04","2001-05-14"
14,0.181915479820781,0.171651966998124,0.477455078807074,0.595702222493575,-0.0371188162932999,0.0717623162059008,2.74124143077801,2.64953308031909,18.0203479003015,22.4832906189581,FALSE,TRUE,"US-Var","biweekly","Soil",28,"weeks","2000-10-30","2021-10-04",547,537,509,"2021-10-04","2001-05-28"
15,0.163236169033668,0.171651966998124,0.46993096132204,0.595702222493575,-0.0676151496334961,0.0717623162059008,2.74424794774755,2.65262376216097,17.7157035243931,22.4570944055889,FALSE,FALSE,"US-Var","biweekly","Soil",30,"weeks","2000-10-30","2021-10-04",547,537,508,"2021-10-04","2001-07-23"
16,0.155360928939951,0.171651966998124,0.470206773585656,0.595702222493575,-0.104717402554521,0.0717623162059008,2.74549758365006,2.65250861149143,17.726870764852,22.4580693126809,FALSE,FALSE,"US-Var","biweekly","Soil",32,"weeks","2000-10-30","2021-10-04",547,537,508,"2021-10-04","2001-07-23"
17,0.149030664408846,0.171651966998124,0.458718337105624,0.595702222493575,-0.129517873136807,0.0717623162059008,2.74402498603019,2.65457742855135,17.2802771609475,22.440566852053,FALSE,FALSE,"US-Var","biweekly","Soil",34,"weeks","2000-10-30","2021-10-04",547,537,508,"2021-10-04","2001-07-23"
18,0.165893950686196,0.171651966998124,0.436465973465008,0.595702222493575,-0.131046353424887,0.0717623162059008,2.74322042140063,2.65154380871171,16.4608245215858,22.4662410078378,FALSE,FALSE,"US-Var","biweekly","Soil",36,"weeks","2000-10-30","2021-10-04",547,537,508,"2021-10-04","2001-07-23"
19,0.154273089065282,0.171651966998124,0.370987013964431,0.595702222493575,-0.111803171875756,0.0717623162059008,2.7426821446859,2.65423654734424,13.9771647080827,22.4434488738247,FALSE,FALSE,"US-Var","biweekly","Soil",38,"weeks","2000-10-30","2021-10-04",547,537,507,"2021-10-04","2001-08-06"
20,0.181229115278612,0.171651966998124,0.410452224434854,0.595702222493575,-0.0654678819119847,0.0717623162059008,2.74877135093881,2.6618427635453,15.4198523690473,22.3793167144163,FALSE,TRUE,"US-Var","biweekly","Soil",40,"weeks","2000-10-30","2021-10-04",547,537,506,"2021-10-04","2001-08-20"
21,0.128653427099774,0.171651966998124,0.381966553213444,0.595702222493575,-0.0105667071769334,0.0717623162059008,2.74658282205254,2.66308731909536,14.3429977107622,22.3688580626764,FALSE,FALSE,"US-Var","biweekly","Soil",42,"weeks","2000-10-30","2021-10-04",547,537,505,"2021-10-04","2001-09-03"
22,0.131482672500045,0.171651966998124,0.407276509633421,0.595702222493575,0.0267094244699228,0.0717623162059008,2.74290243155888,2.6634593635862,15.2912605013446,22.3657334757116,FALSE,FALSE,"US-Var","biweekly","Soil",44,"weeks","2000-10-30","2021-10-04",547,537,504,"2021-10-04","2001-09-17"
23,0.149809721314948,0.171651966998124,0.438051057372131,0.595702222493575,0.0515585473985911,0.0717623162059008,2.73436698671904,2.65826572454457,16.4788287840254,22.4094309682165,FALSE,FALSE,"US-Var","biweekly","Soil",46,"weeks","2000-10-30","2021-10-04",547,537,503,"2021-10-04","2001-10-01"
24,0.135543601862127,0.171651966998124,0.417983403675487,0.595702222493575,0.0116875217634913,0.0717623162059008,2.79324495383492,2.65719018759866,15.7302780066798,22.4185015161417,FALSE,FALSE,"US-Var","biweekly","Soil",48,"weeks","2000-10-30","2021-10-04",547,537,502,"2021-10-04","2001-10-15"
25,0.14150139196438,0.171651966998124,0.424052333068755,0.595702222493575,-0.0129526535237675,0.0717623162059008,2.79120737485898,2.65255802295733,15.986543155651,22.457650967025,FALSE,FALSE,"US-Var","biweekly","Soil",50,"weeks","2000-10-30","2021-10-04",547,537,501,"2021-10-04","2001-10-29"
26,0.156344761032691,0.171651966998124,0.443955542608832,0.595702222493575,-0.0375213985576274,0.0717623162059008,2.73639599765789,2.66166645369029,16.6796084458031,22.3807991293446,FALSE,FALSE,"US-Var","biweekly","Soil",52,"weeks","2000-10-30","2021-10-04",547,537,500,"2021-10-04","2001-11-12"
27,0.172174134133289,0.171651966998124,0.465060416934688,0.595702222493575,-0.0382096338998833,0.0717623162059008,2.74274419273491,2.66667631344504,17.4397025461963,22.338752532136,FALSE,TRUE,"US-Var","biweekly","Soil",54,"weeks","2000-10-30","2021-10-04",547,537,499,"2021-10-04","2001-11-26"
28,0.151680229240821,0.171651966998124,0.441208846103569,0.595702222493575,-0.0167720536050578,0.0717623162059008,2.74195274044329,2.67040665177455,16.5221594924644,22.3075471332322,FALSE,FALSE,"US-Var","biweekly","Soil",56,"weeks","2000-10-30","2021-10-04",547,537,498,"2021-10-04","2001-12-10"
29,0.141173114996862,0.171651966998124,0.415047733827502,0.595702222493575,-0.00534261638895158,0.0717623162059008,2.73906477361471,2.66474564380729,15.5755103603246,22.3549374732238,FALSE,FALSE,"US-Var","biweekly","Soil",58,"weeks","2000-10-30","2021-10-04",547,537,497,"2021-10-04","2001-12-24"
30,0.124282094611945,0.171651966998124,0.4282693955618,0.595702222493575,0.0110829668223324,0.0717623162059008,2.73613090805738,2.66059387587801,16.096759428211,22.3898216069143,FALSE,FALSE,"US-Var","biweekly","Soil",60,"weeks","2000-10-30","2021-10-04",547,537,496,"2021-10-04","2002-01-07"
31,0.14108217939444,0.171651966998124,0.439763382204585,0.595702222493575,0.018656337557691,0.0717623162059008,2.7393934264135,2.65752338796567,16.5478649857235,22.4156906837078,FALSE,FALSE,"US-Var","biweekly","Soil",62,"weeks","2000-10-30","2021-10-04",547,537,495,"2021-10-04","2002-01-21"
32,0.147506409167671,0.171651966998124,0.443880553998878,0.595702222493575,0.0018107905182217,0.0717623162059008,2.74208884171801,2.64638559992358,16.7730868098623,22.5100311349478,FALSE,FALSE,"US-Var","biweekly","Soil",64,"weeks","2000-10-30","2021-10-04",547,537,494,"2021-10-04","2002-02-04"
33,0.163611870259489,0.171651966998124,0.406411983020229,0.595702222493575,-0.0274577822732045,0.0717623162059008,2.74190046240786,2.63817434968639,15.4050464128173,22.5800930315462,FALSE,FALSE,"US-Var","biweekly","Soil",66,"weeks","2000-10-30","2021-10-04",547,537,493,"2021-10-04","2002-02-18"
34,0.171075756767542,0.171651966998124,0.405762400910223,0.595702222493575,-0.0903530461416431,0.0717623162059008,2.74152633846717,2.64123729519983,15.362587891957,22.5539077301461,FALSE,FALSE,"US-Var","biweekly","Soil",68,"weeks","2000-10-30","2021-10-04",547,537,492,"2021-10-04","2002-03-04"
35,0.148274045055921,0.171651966998124,0.392624658316945,0.595702222493575,-0.140724405372057,0.0717623162059008,2.74190903925324,2.65451543692917,14.7908221913053,22.4410909127243,FALSE,FALSE,"US-Var","biweekly","Soil",70,"weeks","2000-10-30","2021-10-04",547,537,491,"2021-10-04","2002-03-18"
36,0.166954463767695,0.171651966998124,0.446325789729387,0.595702222493575,-0.151418145614437,0.0717623162059008,2.73600377046426,2.65569761889802,16.8063482285528,22.4311012765362,FALSE,FALSE,"US-Var","biweekly","Soil",72,"weeks","2000-10-30","2021-10-04",547,537,490,"2021-10-04","2002-04-01"
37,0.205217744871344,0.171651966998124,0.484387276065569,0.595702222493575,-0.125528228216795,0.0717623162059008,2.7351650813118,2.67081465951934,18.136311867958,22.3041393145858,FALSE,TRUE,"US-Var","biweekly","Soil",74,"weeks","2000-10-30","2021-10-04",547,537,489,"2021-10-04","2002-04-15"
38,0.186721598185877,0.171651966998124,0.477953580638638,0.595702222493575,-0.0721289198235156,0.0717623162059008,2.74158022135809,2.6765998338348,17.8567440151809,22.255931385907,FALSE,TRUE,"US-Var","biweekly","Soil",76,"weeks","2000-10-30","2021-10-04",547,537,488,"2021-10-04","2002-04-29"
39,0.216043677639444,0.171651966998124,0.495113723905884,0.595702222493575,-0.0363885741885666,0.0717623162059008,2.74212134112403,2.67625259351115,18.5002613395439,22.2588190643109,FALSE,TRUE,"US-Var","biweekly","Soil",78,"weeks","2000-10-30","2021-10-04",547,537,487,"2021-10-04","2002-05-13"
