"Lag","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy","TEnorm","TEnormcrit","TE_significant","MI_significant","Site_ID","scale","driver","Lag_time","Lag_unit","record_start","record_end","n_grid","n_joint","n_valid_triplets","target_end","target_start"
0,0.0820365853278711,0.0119698728471961,0.0873211573902015,0.0671115569008491,-0.233159250116268,0.0192868567199179,2.40943115962684,2.29284970156136,3.80841174764917,2.92699328940525,TRUE,TRUE,"US-Var","daily","Soil",0,"days","2000-10-30","2021-10-25",7666,7513,7487,"2021-10-25","2000-10-31"
1,0.0845326954777557,0.0119698728471961,0.0832214949427206,0.0671115569008491,-0.258058995202532,0.0192868567199179,2.40853974837424,2.29269412364669,3.62985598839286,2.92719190966929,TRUE,TRUE,"US-Var","daily","Soil",1,"days","2000-10-30","2021-10-25",7666,7513,7486,"2021-10-25","2000-11-01"
2,0.0838250581333453,0.0119698728471961,0.0779875813079762,0.0671115569008491,-0.263832520390776,0.0192868567199179,2.40799320785623,2.29198491112246,3.40262193391941,2.92809767530199,TRUE,TRUE,"US-Var","daily","Soil",2,"days","2000-10-30","2021-10-25",7666,7513,7463,"2021-10-25","2000-11-02"
3,0.0830746681167867,0.0119698728471961,0.0786610741191067,0.0671115569008491,-0.266058054988387,0.0192868567199179,2.40777949820963,2.29151748305853,3.43270669766466,2.92869495419578,TRUE,TRUE,"US-Var","daily","Soil",3,"days","2000-10-30","2021-10-25",7666,7513,7449,"2021-10-25","2000-11-03"
4,0.0839059792354178,0.0119698728471961,0.0784829481138321,0.0671115569008491,-0.26858932969014,0.0192868567199179,2.40757872080459,2.29014474049035,3.42698637017274,2.93045045207403,TRUE,TRUE,"US-Var","daily","Soil",4,"days","2000-10-30","2021-10-25",7666,7513,7437,"2021-10-25","2000-11-04"
5,0.0867727959039222,0.0119698728471961,0.078962162809586,0.0671115569008491,-0.268449520455309,0.0192868567199179,2.40746653267097,2.28802641235586,3.45110364037637,2.93316355696033,TRUE,TRUE,"US-Var","daily","Soil",5,"days","2000-10-30","2021-10-25",7666,7513,7426,"2021-10-25","2000-11-05"
6,0.0871151210096777,0.0119698728471961,0.076883520979746,0.0671115569008491,-0.264862981347176,0.0192868567199179,2.40744023386887,2.28765025992381,3.3608074768521,2.93364584947894,TRUE,TRUE,"US-Var","daily","Soil",6,"days","2000-10-30","2021-10-25",7666,7513,7415,"2021-10-25","2000-11-06"
7,0.0858559653589781,0.0119698728471961,0.0754931174108684,0.0671115569008491,-0.259886734947535,0.0192868567199179,2.40735390636541,2.28983520676817,3.29687993213355,2.93084658243024,TRUE,TRUE,"US-Var","daily","Soil",7,"days","2000-10-30","2021-10-25",7666,7513,7408,"2021-10-25","2000-11-07"
8,0.0842935697599607,0.0119698728471961,0.0725863704602707,0.0671115569008491,-0.257055332544822,0.0192868567199179,2.40719885090927,2.28963925754553,3.17020990189007,2.93109740670641,TRUE,TRUE,"US-Var","daily","Soil",8,"days","2000-10-30","2021-10-25",7666,7513,7398,"2021-10-25","2000-11-08"
9,0.0829935299018132,0.0119698728471961,0.0717354386625324,0.0671115569008491,-0.254670693589705,0.0192868567199179,2.40672976163096,2.28904115076794,3.13386409145446,2.93186327726499,TRUE,TRUE,"US-Var","daily","Soil",9,"days","2000-10-30","2021-10-25",7666,7513,7389,"2021-10-25","2000-11-09"
