"Lag","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy","TEnorm","TEnormcrit","TE_significant","MI_significant","Site_ID","scale","driver","Lag_time","Lag_unit","record_start","record_end","n_grid","n_joint","n_valid_triplets","target_end","target_start"
0,0.0674769821164718,0.0127616305127902,0.129674988905089,0.0764257243189967,0.0484639398492831,0.0172971404131319,2.61724419383096,2.29284970156136,5.65562534765295,3.33321997804537,TRUE,TRUE,"US-Var","daily","VPD",0,"days","2000-10-30","2021-10-25",7666,7513,7487,"2021-10-25","2000-10-31"
1,0.0391770927598918,0.0127616305127902,0.105698234974623,0.0764257243189967,-0.056284835446284,0.0172971404131319,2.61793172479766,2.29269412364669,4.61021964877298,3.3334461640891,TRUE,TRUE,"US-Var","daily","VPD",1,"days","2000-10-30","2021-10-25",7666,7513,7486,"2021-10-25","2000-11-01"
2,0.0359979682486635,0.0127616305127902,0.0856336557792634,0.0764257243189967,-0.105506048385487,0.0172971404131319,2.61922007307506,2.29198491112246,3.73622249272687,3.33447763761972,TRUE,TRUE,"US-Var","daily","VPD",2,"days","2000-10-30","2021-10-25",7666,7513,7463,"2021-10-25","2000-11-02"
3,0.0370899442604085,0.0127616305127902,0.0866982123542703,0.0764257243189967,-0.136610591118823,0.0172971404131319,2.61923417566691,2.29151748305853,3.7834410164985,3.33515781066571,TRUE,TRUE,"US-Var","daily","VPD",3,"days","2000-10-30","2021-10-25",7666,7513,7449,"2021-10-25","2000-11-03"
4,0.0404287337576639,0.0127616305127902,0.0845693011489397,0.0764257243189967,-0.15430657761764,0.0172971404131319,2.61915221752702,2.29014474049035,3.69274918103352,3.33715694767104,TRUE,TRUE,"US-Var","daily","VPD",4,"days","2000-10-30","2021-10-25",7666,7513,7437,"2021-10-25","2000-11-04"
5,0.0398769053249826,0.0127616305127902,0.0842925762678606,0.0764257243189967,-0.158576258047248,0.0172971404131319,2.61887146170824,2.28802641235586,3.68407356718705,3.34024659445714,TRUE,TRUE,"US-Var","daily","VPD",5,"days","2000-10-30","2021-10-25",7666,7513,7426,"2021-10-25","2000-11-05"
6,0.0358325289360657,0.0127616305127902,0.0806666693931604,0.0764257243189967,-0.158963793002883,0.0172971404131319,2.61989844331761,2.28765025992381,3.5261801511498,3.34079582258968,TRUE,TRUE,"US-Var","daily","VPD",6,"days","2000-10-30","2021-10-25",7666,7513,7415,"2021-10-25","2000-11-06"
7,0.0394735464034595,0.0127616305127902,0.0840368868620409,0.0764257243189967,-0.155821826191061,0.0172971404131319,2.61977299178238,2.28983520676817,3.66999715148275,3.33760805550993,TRUE,TRUE,"US-Var","daily","VPD",7,"days","2000-10-30","2021-10-25",7666,7513,7408,"2021-10-25","2000-11-07"
8,0.0429372201199305,0.0127616305127902,0.0815262459774875,0.0764257243189967,-0.153159836212145,0.0172971404131319,2.6205291745107,2.28963925754553,3.560658986293,3.33789369076962,TRUE,TRUE,"US-Var","daily","VPD",8,"days","2000-10-30","2021-10-25",7666,7513,7398,"2021-10-25","2000-11-08"
9,0.0444501725656519,0.0127616305127902,0.0828972615439465,0.0764257243189967,-0.151504000806657,0.0172971404131319,2.62058507964003,2.28904115076794,3.62148410989185,3.33876585370066,TRUE,TRUE,"US-Var","daily","VPD",9,"days","2000-10-30","2021-10-25",7666,7513,7389,"2021-10-25","2000-11-09"
