"Lag","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy","TEnorm","TEnormcrit","TE_significant","MI_significant","Site_ID","scale","driver","Lag_time","Lag_unit","record_start","record_end","n_grid","n_joint","n_valid_triplets","target_end","target_start"
0,0.01538437084759,0.000506641900064111,0.0197480689838718,0.0030283601782142,0.111869947373712,0.00368796863931735,1.94921998461778,1.23582900591992,1.59796127856474,0.245046860342946,TRUE,TRUE,"US-Var","hourly","VPD",0,"hours","2000-10-29 02:00:00","2021-10-26 05:00:00",184012,180225,179856,"2021-10-26 05:00:00","2000-10-29 03:00:00"
1,0.00441797025972601,0.000506641900064111,0.00561794893643786,0.0030283601782142,-0.0360647538753714,0.00368796863931735,1.94995288018618,1.23583386550547,0.454587715488769,0.245045896761825,TRUE,TRUE,"US-Var","hourly","VPD",1,"hours","2000-10-29 02:00:00","2021-10-26 05:00:00",184012,180225,179855,"2021-10-26 05:00:00","2000-10-29 20:00:00"
2,0.00286935084438422,0.000506641900064111,0.00636001661629315,0.0030283601782142,-0.0377093298658933,0.00368796863931735,1.95007396372268,1.23555858164299,0.514748285575897,0.245100493267363,TRUE,TRUE,"US-Var","hourly","VPD",2,"hours","2000-10-29 02:00:00","2021-10-26 05:00:00",184012,180225,179525,"2021-10-26 05:00:00","2000-10-29 21:00:00"
3,0.00159099795857109,0.000506641900064111,0.005345158578832,0.0030283601782142,-0.0280708578451889,0.00368796863931735,1.95034306640917,1.23532456823939,0.432692647443257,0.245146923818595,TRUE,TRUE,"US-Var","hourly","VPD",3,"hours","2000-10-29 02:00:00","2021-10-26 05:00:00",184012,180225,179216,"2021-10-26 05:00:00","2000-10-29 22:00:00"
4,0.00137354395914802,0.000506641900064111,0.00514924687833584,0.0030283601782142,-0.0241963850150712,0.00368796863931735,1.95086371651728,1.23580281777074,0.416672207272075,0.245052053180867,TRUE,TRUE,"US-Var","hourly","VPD",4,"hours","2000-10-29 02:00:00","2021-10-26 05:00:00",184012,180225,179077,"2021-10-26 05:00:00","2000-10-29 23:00:00"
5,0.0019550768704204,0.000506641900064111,0.00591945977064512,0.0030283601782142,-0.0186795857241267,0.00368796863931735,1.95121008186933,1.23650342214499,0.478725708690439,0.244913206383274,TRUE,TRUE,"US-Var","hourly","VPD",5,"hours","2000-10-29 02:00:00","2021-10-26 05:00:00",184012,180225,178984,"2021-10-26 05:00:00","2000-10-30"
6,0.00327431606644524,0.000506641900064111,0.00618860150839584,0.0030283601782142,-0.0133601448935772,0.00368796863931735,1.95149027777235,1.23695723893204,0.500308443462358,0.244823352246907,TRUE,TRUE,"US-Var","hourly","VPD",6,"hours","2000-10-29 02:00:00","2021-10-26 05:00:00",184012,180225,178924,"2021-10-26 05:00:00","2000-10-29 20:00:00"
7,0.00522874121700534,0.000506641900064111,0.00731028122165434,0.0030283601782142,-0.0126534066068511,0.00368796863931735,1.95147607065877,1.23747452751147,0.590741955420699,0.244721011292584,TRUE,TRUE,"US-Var","hourly","VPD",7,"hours","2000-10-29 02:00:00","2021-10-26 05:00:00",184012,180225,178890,"2021-10-26 05:00:00","2000-10-29 21:00:00"
8,0.00745298105600822,0.000506641900064111,0.00819814433328414,0.0030283601782142,-0.00905144572118253,0.00368796863931735,1.95156770773824,1.23787351705399,0.662276413570495,0.24464213318186,TRUE,TRUE,"US-Var","hourly","VPD",8,"hours","2000-10-29 02:00:00","2021-10-26 05:00:00",184012,180225,178863,"2021-10-26 05:00:00","2000-10-29 22:00:00"
9,0.00965038813619801,0.000506641900064111,0.00897273237400764,0.0030283601782142,-0.0055507038993011,0.00368796863931735,1.95165410572659,1.23817081958235,0.724676452723561,0.244583391105574,TRUE,TRUE,"US-Var","hourly","VPD",9,"hours","2000-10-29 02:00:00","2021-10-26 05:00:00",184012,180225,178835,"2021-10-26 05:00:00","2000-10-29 23:00:00"
10,0.0107099120034997,0.000506641900064111,0.00837969962175311,0.0030283601782142,-0.0010004496902932,0.00368796863931735,1.95160759820663,1.23857434272887,0.676560084660778,0.244503706700562,TRUE,TRUE,"US-Var","hourly","VPD",10,"hours","2000-10-29 02:00:00","2021-10-26 05:00:00",184012,180225,178802,"2021-10-26 05:00:00","2000-10-30"
11,0.0102358378074139,0.000506641900064111,0.00767367294041765,0.0030283601782142,-0.00023420632931789,0.00368796863931735,1.95156042411081,1.23876641945708,0.619460845877695,0.244465795217589,TRUE,TRUE,"US-Var","hourly","VPD",11,"hours","2000-10-29 02:00:00","2021-10-26 05:00:00",184012,180225,178778,"2021-10-26 05:00:00","2000-10-30 01:00:00"
12,0.00826508080408361,0.000506641900064111,0.0059788287764535,0.0030283601782142,-0.00316225098179028,0.00368796863931735,1.9516973830639,1.23876362840936,0.482644843563146,0.244466346021378,TRUE,TRUE,"US-Var","hourly","VPD",12,"hours","2000-10-29 02:00:00","2021-10-26 05:00:00",184012,180225,178777,"2021-10-26 05:00:00","2000-10-30 02:00:00"
13,0.00573441892658888,0.000506641900064111,0.0051593805623078,0.0030283601782142,0.000182087338526282,0.00368796863931735,1.95179384373483,1.2386661158166,0.416527141287502,0.244485591358713,TRUE,TRUE,"US-Var","hourly","VPD",13,"hours","2000-10-29 02:00:00","2021-10-26 05:00:00",184012,180225,178782,"2021-10-26 05:00:00","2000-10-30 03:00:00"
14,0.00336393800948542,0.000506641900064111,0.00419260152097767,0.0030283601782142,0.00234637058039576,0.00368796863931735,1.9516284255632,1.23871687919391,0.338463259151356,0.244475572189256,TRUE,TRUE,"US-Var","hourly","VPD",14,"hours","2000-10-29 02:00:00","2021-10-26 05:00:00",184012,180225,178781,"2021-10-26 05:00:00","2000-10-29 20:00:00"
15,0.00163164558147555,0.000506641900064111,0.00404696612956101,0.0030283601782142,0.00556051805536889,0.00368796863931735,1.95149848502978,1.23854016708347,0.326752917435923,0.244510453411084,TRUE,TRUE,"US-Var","hourly","VPD",15,"hours","2000-10-29 02:00:00","2021-10-26 05:00:00",184012,180225,178794,"2021-10-26 05:00:00","2000-10-29 21:00:00"
16,0.000819828685367785,0.000506641900064111,0.00395284133095686,0.0030283601782142,0.00981884855474223,0.00368796863931735,1.9513758667869,1.23826745781762,0.319223549484497,0.244564303058688,TRUE,TRUE,"US-Var","hourly","VPD",16,"hours","2000-10-29 02:00:00","2021-10-26 05:00:00",184012,180225,178810,"2021-10-26 05:00:00","2000-10-29 22:00:00"
17,0.000714102525645188,0.000506641900064111,0.00426992890982625,0.0030283601782142,0.00388169208452356,0.00368796863931735,1.95126438760728,1.2378221237702,0.344954967909342,0.244652290507647,TRUE,TRUE,"US-Var","hourly","VPD",17,"hours","2000-10-29 02:00:00","2021-10-26 05:00:00",184012,180225,178820,"2021-10-26 05:00:00","2000-10-29 20:00:00"
18,0.00133381141366407,0.000506641900064111,0.00489948728634282,0.0030283601782142,0.0076225151669384,0.00368796863931735,1.9509531870597,1.23753859509,0.395905817061528,0.2447083420452,TRUE,TRUE,"US-Var","hourly","VPD",18,"hours","2000-10-29 02:00:00","2021-10-26 05:00:00",184012,180225,178837,"2021-10-26 05:00:00","2000-10-29 21:00:00"
19,0.00236808694149282,0.000506641900064111,0.0053797176000705,0.0030283601782142,0.00634408200610924,0.00368796863931735,1.95061962576219,1.23701989238962,0.434893378284984,0.244810952260771,TRUE,TRUE,"US-Var","hourly","VPD",19,"hours","2000-10-29 02:00:00","2021-10-26 05:00:00",184012,180225,178845,"2021-10-26 05:00:00","2000-10-29 22:00:00"
