"Lag","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy","TEnorm","TEnormcrit","TE_significant","MI_significant","Site_ID","scale","driver","Lag_time","Lag_unit","record_start","record_end","n_grid","n_joint","n_valid_triplets","target_end","target_start"
0,0.368613730882245,0.398623126128742,0.776630355168967,0.996905002715051,-0.355388132736297,0.116496309599031,2.94830551825718,2.63763321452168,29.444213505243,37.7954371072717,FALSE,FALSE,"US-Var","monthly","Soil",0,"months","2000-11-01","2021-10-01",252,247,242,"2021-10-01","2000-12-01"
1,0.322100756089125,0.398623126128742,0.658640051188513,0.996905002715051,-0.378585701691216,0.116496309599031,2.9475325198689,2.64019153671941,24.9466768614413,37.7588136637148,FALSE,FALSE,"US-Var","monthly","Soil",1,"months","2000-11-01","2021-10-01",252,247,241,"2021-10-01","2001-03-01"
2,0.319932846956647,0.398623126128742,0.79164507493548,0.996905002715051,-0.116534581507464,0.116496309599031,2.95497364561105,2.64337550728009,29.9482639812323,37.7133328189463,FALSE,FALSE,"US-Var","monthly","Soil",2,"months","2000-11-01","2021-10-01",252,247,237,"2021-10-01","2001-04-01"
3,0.311132467074758,0.398623126128742,0.7429886743725,0.996905002715051,0.00745788485944557,0.116496309599031,3.03358793979514,2.6267224253731,28.2857704032799,37.9524304922874,FALSE,FALSE,"US-Var","monthly","Soil",3,"months","2000-11-01","2021-10-01",252,247,236,"2021-10-01","2001-03-01"
4,0.334220745605245,0.398623126128742,0.71990547299094,0.996905002715051,-0.0792136660406686,0.116496309599031,2.92141397592374,2.62375059663587,27.4380298917889,37.9954178569132,FALSE,FALSE,"US-Var","monthly","Soil",4,"months","2000-11-01","2021-10-01",252,247,235,"2021-10-01","2001-04-01"
5,0.279282851601709,0.398623126128742,0.667206670519053,0.996905002715051,-0.0979925237254275,0.116496309599031,2.9348715010904,2.69876492988933,24.7226671404246,36.9393047787949,FALSE,FALSE,"US-Var","monthly","Soil",5,"months","2000-11-01","2021-10-01",252,247,235,"2021-10-01","2001-05-01"
6,0.345443211644481,0.398623126128742,0.792842476267078,0.996905002715051,-0.022304652706836,0.116496309599031,2.93631504360335,2.65017381269077,29.9166217879909,37.6165894456135,FALSE,FALSE,"US-Var","monthly","Soil",6,"months","2000-11-01","2021-10-01",252,247,234,"2021-10-01","2001-08-01"
7,0.309674161314712,0.398623126128742,0.712373754845921,0.996905002715051,-0.103454327260804,0.116496309599031,2.93931233756312,2.66864484548637,26.694213583752,37.3562261160818,FALSE,FALSE,"US-Var","monthly","Soil",7,"months","2000-11-01","2021-10-01",252,247,233,"2021-10-01","2001-09-01"
8,0.27272157648525,0.398623126128742,0.716216777872486,0.996905002715051,-0.15886959605904,0.116496309599031,2.94059185515197,2.66209458814293,26.9042573116125,37.4481435466382,FALSE,FALSE,"US-Var","monthly","Soil",8,"months","2000-11-01","2021-10-01",252,247,233,"2021-10-01","2001-08-01"
9,0.216058805399223,0.398623126128742,0.666954959383694,0.996905002715051,-0.0897803862310602,0.116496309599031,2.95419498004626,2.65931652254504,25.0799389139808,37.487263898958,FALSE,FALSE,"US-Var","monthly","Soil",9,"months","2000-11-01","2021-10-01",252,247,232,"2021-10-01","2001-09-01"
10,0.29412590086176,0.398623126128742,0.70928379377072,0.996905002715051,0.0178455639162075,0.116496309599031,2.95800619639751,2.66744818008244,26.5903494983284,37.372984793438,FALSE,FALSE,"US-Var","monthly","Soil",10,"months","2000-11-01","2021-10-01",252,247,231,"2021-10-01","2001-10-01"
11,0.266081709357181,0.398623126128742,0.707400103281568,0.996905002715051,0.0308487389733056,0.116496309599031,2.94750308779107,2.66006729206238,26.5933160936359,37.4766836045768,FALSE,FALSE,"US-Var","monthly","Soil",11,"months","2000-11-01","2021-10-01",252,247,230,"2021-10-01","2001-11-01"
12,0.281506637149249,0.398623126128742,0.707072863927089,0.996905002715051,-0.0643737858157343,0.116496309599031,2.9346847927084,2.67428396972952,26.4397076724281,37.2774549748313,FALSE,FALSE,"US-Var","monthly","Soil",12,"months","2000-11-01","2021-10-01",252,247,229,"2021-10-01","2001-12-01"
13,0.330379410415528,0.398623126128742,0.767495217972854,0.996905002715051,-0.0122166678857585,0.116496309599031,2.95102210691556,2.66591559642214,28.7891791849258,37.3944698044069,FALSE,FALSE,"US-Var","monthly","Soil",13,"months","2000-11-01","2021-10-01",252,247,228,"2021-10-01","2002-01-01"
14,0.304402376689328,0.398623126128742,0.671352115027426,0.996905002715051,0.0187854602442082,0.116496309599031,2.95201557098921,2.66869352758191,25.156583477599,37.3555446667696,FALSE,FALSE,"US-Var","monthly","Soil",14,"months","2000-11-01","2021-10-01",252,247,227,"2021-10-01","2002-02-01"
15,0.278835903059306,0.398623126128742,0.771505931876519,0.996905002715051,-0.0261001619399802,0.116496309599031,2.94604989251765,2.78766974124366,27.6756575738533,35.7612305348015,FALSE,FALSE,"US-Var","monthly","Soil",15,"months","2000-11-01","2021-10-01",252,247,226,"2021-10-01","2002-03-01"
16,0.29069990511963,0.398623126128742,0.815197337790661,0.996905002715051,-0.153930737247005,0.116496309599031,2.95023644761748,2.76404027538901,29.4929616275556,36.0669492261558,FALSE,FALSE,"US-Var","monthly","Soil",16,"months","2000-11-01","2021-10-01",252,247,225,"2021-10-01","2002-04-01"
17,0.30203656325835,0.398623126128742,0.79510810583163,0.996905002715051,-0.119257154352371,0.116496309599031,2.94888709834645,2.68204787546532,29.6455597644276,37.169545399785,FALSE,FALSE,"US-Var","monthly","Soil",17,"months","2000-11-01","2021-10-01",252,247,224,"2021-10-01","2002-05-01"
