"Lag","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy","TEnorm","TEnormcrit","TE_significant","MI_significant","Site_ID","scale","driver","Lag_time","Lag_unit","record_start","record_end","n_grid","n_joint","n_valid_triplets","target_end","target_start"
0,0.374230209825976,0.420013798105177,0.690497987783442,1.09264200384346,-0.383465503188063,0.119781958936124,3.01942060757576,2.63763321452168,26.1786962638268,41.4250926864221,FALSE,FALSE,"US-Var","monthly","VPD",0,"months","2000-11-01","2021-10-01",252,247,242,"2021-10-01","2000-12-01"
1,0.31882669693972,0.420013798105177,0.620473606355041,1.09264200384346,-0.281867287617687,0.119781958936124,3.00360164867315,2.64019153671941,23.5010830739203,41.3849521387805,FALSE,FALSE,"US-Var","monthly","VPD",1,"months","2000-11-01","2021-10-01",252,247,241,"2021-10-01","2001-03-01"
2,0.293941581993149,0.420013798105177,0.663149059543682,1.09264200384346,-0.0314479227572093,0.119781958936124,2.99587908108489,2.64337550728009,25.0872060256786,41.3351035762505,FALSE,FALSE,"US-Var","monthly","VPD",2,"months","2000-11-01","2021-10-01",252,247,237,"2021-10-01","2001-04-01"
3,0.268785939375836,0.420013798105177,0.65296540335734,1.09264200384346,-0.0775985345260121,0.119781958936124,3.00041360938108,2.6267224253731,24.8585612644089,41.5971628097804,FALSE,FALSE,"US-Var","monthly","VPD",3,"months","2000-11-01","2021-10-01",252,247,236,"2021-10-01","2001-03-01"
4,0.252722885838006,0.420013798105177,0.661891547026447,1.09264200384346,-0.130471914541813,0.119781958936124,2.98805036056475,2.62375059663587,25.2269231639286,41.6442784327303,FALSE,FALSE,"US-Var","monthly","VPD",4,"months","2000-11-01","2021-10-01",252,247,235,"2021-10-01","2001-04-01"
5,0.259083893991451,0.420013798105177,0.766453980128214,1.09264200384346,0.0250248725512698,0.119781958936124,2.99143226681336,2.69876492988933,28.4001756373662,40.4867423517419,FALSE,FALSE,"US-Var","monthly","VPD",5,"months","2000-11-01","2021-10-01",252,247,235,"2021-10-01","2001-05-01"
6,0.28496902317276,0.420013798105177,0.809209250044574,1.09264200384346,0.0926302065184021,0.119781958936124,2.98929412693754,2.65017381269077,30.5341953863384,41.2290695278617,FALSE,FALSE,"US-Var","monthly","VPD",6,"months","2000-11-01","2021-10-01",252,247,234,"2021-10-01","2001-08-01"
7,0.280757246566754,0.420013798105177,0.718664323294266,1.09264200384346,-0.0731070781795634,0.119781958936124,2.983219150773,2.66864484548637,26.9299350383691,40.9437024072914,FALSE,FALSE,"US-Var","monthly","VPD",7,"months","2000-11-01","2021-10-01",252,247,233,"2021-10-01","2001-09-01"
8,0.319034280294372,0.420013798105177,0.82163526572134,1.09264200384346,-0.0800146875663367,0.119781958936124,2.99065062390685,2.66209458814293,30.8642401130649,41.0444470572207,FALSE,FALSE,"US-Var","monthly","VPD",8,"months","2000-11-01","2021-10-01",252,247,233,"2021-10-01","2001-08-01"
9,0.308496495766148,0.420013798105177,0.770937497564602,1.09264200384346,-0.0267780790559965,0.119781958936124,2.99791736770667,2.65931652254504,28.9900615826955,41.0873243023277,FALSE,FALSE,"US-Var","monthly","VPD",9,"months","2000-11-01","2021-10-01",252,247,232,"2021-10-01","2001-09-01"
