"Lag","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy","TEnorm","TEnormcrit","TE_significant","MI_significant","Site_ID","scale","driver","Lag_time","Lag_unit","record_start","record_end","n_grid","n_joint","n_valid_triplets","target_end","target_start"
0,0.18109728301079,0.0841118236084841,0.311338954245856,0.350460892004116,-0.317111172267898,0.0489098132986805,2.62837644365151,2.56420610096732,12.141728940135,13.6674229061349,FALSE,TRUE,"US-Var","weekly","Soil",0,"weeks","2000-10-30","2021-10-18",1095,1072,1060,"2021-10-18","2000-11-06"
1,0.181580090529655,0.0841118236084841,0.278292495152436,0.350460892004116,-0.367381752575966,0.0489098132986805,2.62635773717353,2.56490624242604,10.8500065440681,13.6636921150236,FALSE,TRUE,"US-Var","weekly","Soil",1,"weeks","2000-10-30","2021-10-18",1095,1072,1059,"2021-10-18","2000-11-13"
2,0.183768563434367,0.0841118236084841,0.275459848551904,0.350460892004116,-0.34763445733792,0.0489098132986805,2.62700129613652,2.56549388152297,10.7371079906213,13.6605623785807,FALSE,TRUE,"US-Var","weekly","Soil",2,"weeks","2000-10-30","2021-10-18",1095,1072,1047,"2021-10-18","2000-11-20"
3,0.168448089551704,0.0841118236084841,0.284040135946832,0.350460892004116,-0.317993026779683,0.0489098132986805,2.62944698586204,2.57316289321799,11.0385602363328,13.6198486667057,FALSE,TRUE,"US-Var","weekly","Soil",3,"weeks","2000-10-30","2021-10-18",1095,1072,1042,"2021-10-18","2000-11-27"
4,0.147598031605504,0.0841118236084841,0.262916322785669,0.350460892004116,-0.279808781850364,0.0489098132986805,2.628928113569,2.56535476230225,10.2487315457967,13.6613031910487,FALSE,TRUE,"US-Var","weekly","Soil",4,"weeks","2000-10-30","2021-10-18",1095,1072,1039,"2021-10-18","2000-12-04"
5,0.126089479323335,0.0841118236084841,0.261143296091042,0.350460892004116,-0.224258598747659,0.0489098132986805,2.62564895559635,2.56564919795478,10.1784490373514,13.6597354105732,FALSE,TRUE,"US-Var","weekly","Soil",5,"weeks","2000-10-30","2021-10-18",1095,1072,1035,"2021-10-18","2000-12-11"
6,0.102786328505375,0.0841118236084841,0.265630177713007,0.350460892004116,-0.176953492829988,0.0489098132986805,2.62624916486241,2.57045970519332,10.3339561081752,13.6341717902074,FALSE,TRUE,"US-Var","weekly","Soil",6,"weeks","2000-10-30","2021-10-18",1095,1072,1032,"2021-10-18","2000-12-18"
7,0.0901901511627186,0.0841118236084841,0.25233808328427,0.350460892004116,-0.133853840344414,0.0489098132986805,2.62064890070436,2.57100261210099,9.81477350884767,13.63129272427,FALSE,TRUE,"US-Var","weekly","Soil",7,"weeks","2000-10-30","2021-10-18",1095,1072,1030,"2021-10-18","2000-12-25"
8,0.0869698618298749,0.0841118236084841,0.252006233005508,0.350460892004116,-0.0951024649176495,0.0489098132986805,2.61578212826306,2.5698389090628,9.80630467212485,13.6374653978574,FALSE,TRUE,"US-Var","weekly","Soil",8,"weeks","2000-10-30","2021-10-18",1095,1072,1030,"2021-10-18","2001-01-01"
9,0.0710077667166162,0.0841118236084841,0.253303564120172,0.350460892004116,-0.0568794509327639,0.0489098132986805,2.60967968615765,2.56899488187826,9.86002603224242,13.6419459017328,FALSE,FALSE,"US-Var","weekly","Soil",9,"weeks","2000-10-30","2021-10-18",1095,1072,1029,"2021-10-18","2001-01-08"
