"Lag","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy","TEnorm","TEnormcrit","TE_significant","MI_significant","Site_ID","scale","driver","Lag_time","Lag_unit","record_start","record_end","n_grid","n_joint","n_valid_triplets","target_end","target_start"
0,0.104320461244861,0.0866879816517589,0.300881889800319,0.361550820080295,-0.125469356755224,0.0531961932954779,2.70451154345419,2.56420610096732,11.7339198938344,14.0999126374399,FALSE,TRUE,"US-Var","weekly","VPD",0,"weeks","2000-10-30","2021-10-18",1095,1072,1060,"2021-10-18","2000-11-06"
1,0.13165337903659,0.0866879816517589,0.304307162528834,0.361550820080295,-0.273845524293236,0.0531961932954779,2.70994888300881,2.56490624242604,11.8642606694661,14.096063789775,FALSE,TRUE,"US-Var","weekly","VPD",1,"weeks","2000-10-30","2021-10-18",1095,1072,1059,"2021-10-18","2000-11-13"
2,0.100141316682659,0.0866879816517589,0.245798393350668,0.361550820080295,-0.23908290444034,0.0531961932954779,2.707396113372,2.56549388152297,9.58093859123739,14.0928350164556,FALSE,TRUE,"US-Var","weekly","VPD",2,"weeks","2000-10-30","2021-10-18",1095,1072,1047,"2021-10-18","2000-11-20"
3,0.0835562340171991,0.0866879816517589,0.252100909507271,0.361550820080295,-0.186802758346637,0.0531961932954779,2.70544404410293,2.57316289321799,9.79731637556744,14.050832966433,FALSE,FALSE,"US-Var","weekly","VPD",3,"weeks","2000-10-30","2021-10-18",1095,1072,1042,"2021-10-18","2000-11-27"
4,0.0767701204920002,0.0866879816517589,0.279682172480145,0.361550820080295,-0.134608326573798,0.0531961932954779,2.7041658594247,2.56535476230225,10.902280518471,14.0935992710741,FALSE,FALSE,"US-Var","weekly","VPD",4,"weeks","2000-10-30","2021-10-18",1095,1072,1039,"2021-10-18","2000-12-04"
5,0.0791142690463955,0.0866879816517589,0.26057276217802,0.361550820080295,-0.0826002317851713,0.0531961932954779,2.70888708021658,2.56564919795478,10.1562116280642,14.0919818800055,FALSE,FALSE,"US-Var","weekly","VPD",5,"weeks","2000-10-30","2021-10-18",1095,1072,1035,"2021-10-18","2000-12-11"
6,0.0980435321596325,0.0866879816517589,0.262680976486894,0.361550820080295,-0.0223014994279306,0.0531961932954779,2.70640395817244,2.57045970519332,10.2192217196083,14.0656093285502,FALSE,TRUE,"US-Var","weekly","VPD",6,"weeks","2000-10-30","2021-10-18",1095,1072,1032,"2021-10-18","2000-12-18"
7,0.0997668661741233,0.0866879816517589,0.25052850693533,0.361550820080295,-0.00696338368717694,0.0531961932954779,2.70385243424932,2.57100261210099,9.74438943609634,14.0626391579136,FALSE,TRUE,"US-Var","weekly","VPD",7,"weeks","2000-10-30","2021-10-18",1095,1072,1030,"2021-10-18","2000-12-25"
8,0.0928316256492074,0.0866879816517589,0.226291258211407,0.361550820080295,-0.000415541245124109,0.0531961932954779,2.71001351356732,2.5698389090628,8.80565927355864,14.0690071585907,FALSE,TRUE,"US-Var","weekly","VPD",8,"weeks","2000-10-30","2021-10-18",1095,1072,1030,"2021-10-18","2001-01-01"
9,0.0852909905054968,0.0866879816517589,0.24674325882273,0.361550820080295,-0.00961812769647808,0.0531961932954779,2.71071497967867,2.56899488187826,9.6046613624364,14.0736294428098,FALSE,FALSE,"US-Var","weekly","VPD",9,"weeks","2000-10-30","2021-10-18",1095,1072,1029,"2021-10-18","2001-01-08"
10,0.0907239092892436,0.0866879816517589,0.22942884311183,0.361550820080295,-0.00966745819357245,0.0531961932954779,2.70688653913636,2.57240904424145,8.91883208175716,14.0549505876468,FALSE,TRUE,"US-Var","weekly","VPD",10,"weeks","2000-10-30","2021-10-18",1095,1072,1029,"2021-10-18","2001-01-15"
11,0.107251973269935,0.0866879816517589,0.234425458268639,0.361550820080295,0.00192146239482651,0.0531961932954779,2.71151090726377,2.57509209473046,9.10357570311195,14.0403063960374,FALSE,TRUE,"US-Var","weekly","VPD",11,"weeks","2000-10-30","2021-10-18",1095,1072,1028,"2021-10-18","2001-02-12"
12,0.0800885707437198,0.0866879816517589,0.230378395696355,0.361550820080295,-0.0260652364913554,0.0531961932954779,2.70884024113247,2.56887856522493,8.96805317366891,14.074266684873,FALSE,FALSE,"US-Var","weekly","VPD",12,"weeks","2000-10-30","2021-10-18",1095,1072,1027,"2021-10-18","2001-02-12"
13,0.084257777385373,0.0866879816517589,0.233141113111453,0.361550820080295,-0.0281505462141543,0.0531961932954779,2.70077014294801,2.55892691728245,9.11089377101268,14.1290014043956,FALSE,FALSE,"US-Var","weekly","VPD",13,"weeks","2000-10-30","2021-10-18",1095,1072,1027,"2021-10-18","2001-02-12"
