"Site_ID","n_simultaneous_VPD","n_simultaneous_soil","upper_bound","actual_joint_hourly"
"US-Var",180981,180225,180225,180225
"US-MMS",182599,178738,178738,NA
"US-SRM",173208,173050,173050,NA
"US-Ne1",169426,168369,168369,NA
"US-Ton",193834,167949,167949,NA
"US-Me2",167568,162864,162864,NA
"US-ARM",167332,154773,154773,NA
"US-Wkg",154490,154486,154486,NA
"US-Bar",144482,142032,142032,NA
"US-MOz",144746,141469,141469,NA
"US-UMd",140899,141400,140899,NA
"US-SRG",136783,136258,136258,NA
"US-UMB",128971,123130,123130,NA
"US-NR1",143122,116549,116549,NA
"US-GLE",121813,114853,114853,NA
"US-Whs",105168,114626,105168,NA
"US-Me6",98918,93391,93391,NA
"US-Kon",109935,91123,91123,NA
"US-Syv",88857,127389,88857,NA
"US-Jo1",91922,85740,85740,NA
"US-Oho",79742,78225,78225,NA
"US-Jo2",77747,78438,77747,NA
"US-KFS",89927,75586,75586,NA
"US-Rls",76093,73394,73394,NA
"US-Rms",75833,72980,72980,NA
"US-Rws",77360,70220,70220,NA
"US-Mo1",68749,68609,68609,NA
"US-SRS",63633,62551,62551,NA
"US-NC1",60671,60365,60365,NA
"US-Ro4",82818,58872,58872,NA
"US-NC3",56106,55731,55731,NA
"US-Ro5",60641,55121,55121,NA
"US-Ro6",60466,54501,54501,NA
"US-ONA",52488,53386,52488,NA
"US-SP1",149984,49169,49169,NA
"US-Mo3",47997,47776,47776,NA
"US-Bi1",46382,46441,46382,NA
"US-xWD",48008,45878,45878,NA
"US-KLS",51895,45324,45324,NA
"US-xAB",44399,46328,44399,NA
"US-Fwf",45106,43663,43663,NA
"US-Fmf",43278,42335,42335,NA
"US-Mo2",47714,42237,42237,NA
"US-xSL",41883,42090,41883,NA
"US-Tw3",42360,41094,41094,NA
"US-SRC",40882,43877,40882,NA
"US-Fuf",39631,40969,39631,NA
"US-Me3",39581,41304,39581,NA
"US-Bi2",39039,39519,39039,NA
"US-UC1",38657,38657,38657,NA
"US-xJR",49526,38412,38412,NA
"US-UC2",38266,38266,38266,NA
"US-LS2",40522,38006,38006,NA
"US-Ho1",35200,156672,35200,NA
"US-Cst",34941,34903,34903,NA
"US-HB3",33767,34517,33767,NA
"US-CdM",35663,33762,33762,NA
"US-Cop",31159,33519,31159,NA
"US-AR1",29344,29348,29344,NA
"US-HWB",26392,26392,26392,NA
"US-CRT",26155,26155,26155,NA
"US-AR2",26873,25183,25183,NA
"US-BRG",23794,24352,23794,NA
"US-xDC",34075,23619,23619,NA
"US-DFC",34404,23274,23274,NA
"US-xUN",36762,23159,23159,NA
"US-SSH",38807,22178,22178,NA
"US-xNG",33987,21614,21614,NA
"US-CF2",27543,20590,20590,NA
"US-RGB",22731,20548,20548,NA
"US-xST",35501,20296,20296,NA
"US-xBR",35605,20055,20055,NA
"US-xJE",25890,19601,19601,NA
"US-RGo",19086,19086,19086,NA
"US-xTR",33699,18908,18908,NA
"US-xSJ",18662,18664,18662,NA
"US-xRM",34311,18518,18518,NA
"US-xSE",25264,18490,18490,NA
"US-xKZ",32032,18114,18114,NA
"US-CF1",36055,17204,17204,NA
"US-RGA",20020,16927,16927,NA
"US-DS3",16706,16706,16706,NA
"US-xAE",21307,16551,16551,NA
"US-xML",16423,19773,16423,NA
"US-Snf",16020,17027,16020,NA
"US-xGR",20226,15295,15295,NA
"US-xBL",15121,14570,14570,NA
"US-CGG",19109,14093,14093,NA
"US-xSR",25853,13905,13905,NA
"US-A32",13593,13593,13593,NA
"US-xKA",26529,13060,13060,NA
"US-CF3",26334,12990,12990,NA
"US-CF4",28821,12626,12626,NA
"US-RGW",12590,12590,12590,NA
"US-xTA",30840,12412,12412,NA
"US-xUK",27603,12300,12300,NA
"US-Hn2",14782,12011,12011,NA
"US-xMB",16024,11902,11902,NA
"US-A74",11389,11389,11389,NA
"US-xDL",25789,11261,11261,NA
"US-xCL",22412,11135,11135,NA
"US-xYE",19797,10809,10809,NA
"US-xSB",17563,10427,10427,NA
"US-xCP",28640,10161,10161,NA
"US-Lin",8915,8903,8903,NA
"US-Ro1",108457,8886,8886,NA
"US-HB2",8398,8398,8398,NA
"US-Tw2",8319,7713,7713,NA
"US-RGF",7162,7162,7162,NA
"US-Me1",6805,7500,6805,NA
"US-CS6",6509,6500,6500,NA
"US-xSC",8824,6154,6154,NA
"US-xDS",22519,4043,4043,NA
"US-xNQ",18108,3265,3265,NA
"US-CS5",5375,2262,2262,NA
"US-PFL",2386,2256,2256,NA
"US-PFq",2328,2256,2256,NA
"US-PFk",2258,2245,2245,NA
"US-PFc",2345,2236,2236,NA
"US-PFt",2088,2349,2088,NA
"US-PFn",2064,2346,2064,NA
"US-PFb",1912,2160,1912,NA
"US-CS2",19146,1741,1741,NA
"US-PFm",2471,1521,1521,NA
"US-xHA",33168,1484,1484,NA
"US-PFp",1256,1732,1256,NA
"US-UTB",14046,314,314,NA
"US-Hn3",6477,221,221,NA
"US-ARb",14227,0,0,NA
"US-ARc",14470,0,0,NA
"US-ASH",1951,0,0,NA
"US-ASM",2212,0,0,NA
"US-Akn",46986,0,0,NA
"US-CS1",7065,0,0,NA
"US-CS3",8392,0,0,NA
"US-CS4",7367,0,0,NA
"US-CS8",3347,0,0,NA
"US-Ha1",242137,0,0,NA
"US-Ho2",46911,0,0,NA
"US-KS1",7295,0,0,NA
"US-KS2",37467,0,0,NA
"US-Mpj",111719,0,0,NA
"US-PSH",1881,0,0,NA
"US-PSL",2103,0,0,NA
"US-Ro2",51702,0,0,NA
"US-Ro3",30666,0,0,NA
"US-Rwe",38660,0,0,NA
"US-Rwf",77542,0,0,NA
"US-Seg",127875,0,0,NA
"US-Ses",128435,0,0,NA
"US-Sne",38183,0,0,NA
"US-Vcm",118052,0,0,NA
"US-Vcp",136098,0,0,NA
"US-Wi0",4606,0,0,NA
"US-Wi1",3723,0,0,NA
"US-Wi3",11794,0,0,NA
"US-Wi4",15661,0,0,NA
"US-Wi5",5436,0,0,NA
"US-Wi6",6384,0,0,NA
"US-Wi7",4068,0,0,NA
"US-Wi8",4166,0,0,NA
"US-Wi9",7862,0,0,NA
"US-Wjs",123007,0,0,NA
