"Site_ID","scale","variable","start","end","n_rows","n_valid_level","n_valid_analysis","fraction_valid_level","fraction_valid_analysis"
"US-A32","hourly","ET","2015-06-16 17:00:00","2017-06-15",17504,13700,13593,0.782678244972578,0.776565356489945
"US-A32","hourly","soil_water_potential","2015-06-16 17:00:00","2017-06-15",17504,15467,15442,0.883626599634369,0.882198354661792
"US-A32","hourly","VPD","2015-06-16 17:00:00","2017-06-15",17504,15467,15442,0.883626599634369,0.882198354661792
"US-A32","hourly","air_temperature","2015-06-16 17:00:00","2017-06-15",17504,15467,15442,0.883626599634369,0.882198354661792
"US-A32","hourly","net_radiation","2015-06-16 17:00:00","2017-06-15",17504,15324,15306,0.875457038391225,0.874428702010969
"US-A32","6_hourly","ET","2015-06-16 12:00:00","2017-06-15",2919,2254,2208,0.772182254196643,0.756423432682426
"US-A32","6_hourly","soil_water_potential","2015-06-16 12:00:00","2017-06-15",2919,2570,2554,0.880438506337787,0.874957177115451
"US-A32","6_hourly","VPD","2015-06-16 12:00:00","2017-06-15",2919,2570,2554,0.880438506337787,0.874957177115451
"US-A32","6_hourly","air_temperature","2015-06-16 12:00:00","2017-06-15",2919,2570,2554,0.880438506337787,0.874957177115451
"US-A32","6_hourly","net_radiation","2015-06-16 12:00:00","2017-06-15",2919,2549,2537,0.87324426173347,0.869133264816718
"US-A32","daily","ET","2015-06-16","2017-06-15",731,560,560,0.766073871409029,0.766073871409029
"US-A32","daily","soil_water_potential","2015-06-16","2017-06-15",731,640,640,0.875512995896033,0.875512995896033
"US-A32","daily","VPD","2015-06-16","2017-06-15",731,640,640,0.875512995896033,0.875512995896033
"US-A32","daily","air_temperature","2015-06-16","2017-06-15",731,640,640,0.875512995896033,0.875512995896033
"US-A32","daily","net_radiation","2015-06-16","2017-06-15",731,633,633,0.86593707250342,0.86593707250342
"US-A32","weekly","ET","2015-06-15","2017-06-12",105,78,78,0.742857142857143,0.742857142857143
"US-A32","weekly","soil_water_potential","2015-06-15","2017-06-12",105,91,91,0.866666666666667,0.866666666666667
"US-A32","weekly","VPD","2015-06-15","2017-06-12",105,91,91,0.866666666666667,0.866666666666667
"US-A32","weekly","air_temperature","2015-06-15","2017-06-12",105,91,91,0.866666666666667,0.866666666666667
"US-A32","weekly","net_radiation","2015-06-15","2017-06-12",105,90,90,0.857142857142857,0.857142857142857
"US-A32","monthly","ET","2015-06-01","2017-06-01",25,15,0,0.6,0
"US-A32","monthly","soil_water_potential","2015-06-01","2017-06-01",25,20,20,0.8,0.8
"US-A32","monthly","VPD","2015-06-01","2017-06-01",25,20,20,0.8,0.8
"US-A32","monthly","air_temperature","2015-06-01","2017-06-01",25,20,20,0.8,0.8
"US-A32","monthly","net_radiation","2015-06-01","2017-06-01",25,20,20,0.8,0.8
"US-A74","hourly","ET","2016-01-22 14:00:00","2017-10-23 06:00:00",15353,11456,11406,0.746173386308865,0.742916693805771
"US-A74","hourly","soil_water_potential","2016-01-22 14:00:00","2017-10-23 06:00:00",15353,13627,13619,0.8875789747932,0.887057903992705
"US-A74","hourly","VPD","2016-01-22 14:00:00","2017-10-23 06:00:00",15353,13868,13862,0.903276232658112,0.902885429557741
"US-A74","hourly","air_temperature","2016-01-22 14:00:00","2017-10-23 06:00:00",15353,13868,13862,0.903276232658112,0.902885429557741
"US-A74","hourly","net_radiation","2016-01-22 14:00:00","2017-10-23 06:00:00",15353,10881,10874,0.708721422523285,0.708265485572852
"US-A74","6_hourly","ET","2016-01-22 12:00:00","2017-10-23 06:00:00",2560,1899,1880,0.741796875,0.734375
"US-A74","6_hourly","soil_water_potential","2016-01-22 12:00:00","2017-10-23 06:00:00",2560,2269,2263,0.886328125,0.883984375
"US-A74","6_hourly","VPD","2016-01-22 12:00:00","2017-10-23 06:00:00",2560,2309,2305,0.901953125,0.900390625
"US-A74","6_hourly","air_temperature","2016-01-22 12:00:00","2017-10-23 06:00:00",2560,2309,2305,0.901953125,0.900390625
"US-A74","6_hourly","net_radiation","2016-01-22 12:00:00","2017-10-23 06:00:00",2560,1813,1806,0.708203125,0.70546875
"US-A74","daily","ET","2016-01-22","2017-10-23",641,475,475,0.741029641185647,0.741029641185647
"US-A74","daily","soil_water_potential","2016-01-22","2017-10-23",641,564,564,0.8798751950078,0.8798751950078
"US-A74","daily","VPD","2016-01-22","2017-10-23",641,575,575,0.897035881435257,0.897035881435257
"US-A74","daily","air_temperature","2016-01-22","2017-10-23",641,575,575,0.897035881435257,0.897035881435257
"US-A74","daily","net_radiation","2016-01-22","2017-10-23",641,450,450,0.702028081123245,0.702028081123245
"US-A74","weekly","ET","2016-01-18","2017-10-23",93,67,67,0.720430107526882,0.720430107526882
"US-A74","weekly","soil_water_potential","2016-01-18","2017-10-23",93,79,79,0.849462365591398,0.849462365591398
"US-A74","weekly","VPD","2016-01-18","2017-10-23",93,81,81,0.870967741935484,0.870967741935484
"US-A74","weekly","air_temperature","2016-01-18","2017-10-23",93,81,81,0.870967741935484,0.870967741935484
"US-A74","weekly","net_radiation","2016-01-18","2017-10-23",93,62,62,0.666666666666667,0.666666666666667
