"Site_ID","input_file","status","detail","elapsed_seconds","processed_at_utc"
"US-A32","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-A32.csv","ok","",3.74,"2026-09-08 00:08:33 UTC"
"US-A74","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-A74.csv","ok","",3.47,"2026-09-08 00:08:37 UTC"
"US-AR1","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-AR1.csv","ok","",7.17,"2026-09-08 00:08:44 UTC"
"US-AR2","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-AR2.csv","ok","",6.21,"2026-09-08 00:08:50 UTC"
"US-ARM","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-ARM.csv","ok","",41.52,"2026-09-08 00:09:32 UTC"
"US-ARb","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-ARb.csv","ok","",3.01,"2026-09-08 00:09:35 UTC"
"US-ARc","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-ARc.csv","ok","",2.94,"2026-09-08 00:09:38 UTC"
"US-ASH","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-ASH.csv","ok","",0.63,"2026-09-08 00:09:38 UTC"
"US-ASM","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-ASM.csv","ok","",0.51,"2026-09-08 00:09:39 UTC"
"US-Akn","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-Akn.csv","ok","",16.61,"2026-09-08 00:09:56 UTC"
"US-BRG","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-BRG.csv","ok","",10.11,"2026-09-08 00:10:06 UTC"
"US-Bar","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-Bar.csv","ok","",42.74,"2026-09-08 00:10:48 UTC"
"US-Bi1","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-Bi1.csv","ok","",11.7,"2026-09-08 00:11:00 UTC"
"US-Bi2","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-Bi2.csv","ok","",11.84,"2026-09-08 00:11:12 UTC"
"US-CF1","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-CF1.csv","ok","",9.43,"2026-09-08 00:11:21 UTC"
"US-CF2","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-CF2.csv","ok","",5.84,"2026-09-08 00:11:27 UTC"
"US-CF3","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-CF3.csv","ok","",7.42,"2026-09-08 00:11:35 UTC"
"US-CF4","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-CF4.csv","ok","",8.17,"2026-09-08 00:11:43 UTC"
"US-CGG","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-CGG.csv","ok","",4.3,"2026-09-08 00:11:47 UTC"
"US-CRT","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-CRT.csv","ok","",6.45,"2026-09-08 00:11:54 UTC"
"US-CS1","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-CS1.csv","ok","",1.65,"2026-09-08 00:11:55 UTC"
"US-CS2","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-CS2.csv","ok","",5.75,"2026-09-08 00:08:35 UTC"
"US-CS3","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-CS3.csv","ok","",1.69,"2026-09-08 00:08:37 UTC"
"US-CS4","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-CS4.csv","ok","",1.79,"2026-09-08 00:08:39 UTC"
"US-CS5","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-CS5.csv","ok","",1.22,"2026-09-08 00:08:40 UTC"
"US-CS6","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-CS6.csv","ok","",2.07,"2026-09-08 00:08:42 UTC"
"US-CS8","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-CS8.csv","ok","",0.81,"2026-09-08 00:08:43 UTC"
"US-CdM","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-CdM.csv","ok","",8.14,"2026-09-08 00:08:51 UTC"
"US-Cop","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-Cop.csv","ok","",11.24,"2026-09-08 00:09:02 UTC"
"US-Cst","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-Cst.csv","ok","",9.16,"2026-09-08 00:09:12 UTC"
"US-DFC","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-DFC.csv","ok","",8.38,"2026-09-08 00:09:20 UTC"
"US-DS3","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-DS3.csv","ok","",4.38,"2026-09-08 00:09:24 UTC"
"US-Fmf","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-Fmf.csv","ok","",12.38,"2026-09-08 00:09:37 UTC"
"US-Fuf","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-Fuf.csv","ok","",11.3,"2026-09-08 00:09:48 UTC"
"US-Fwf","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-Fwf.csv","ok","",11.3,"2026-09-08 00:09:59 UTC"
"US-GLE","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-GLE.csv","ok","",37.15,"2026-09-08 00:10:37 UTC"
"US-HB2","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-HB2.csv","ok","",2.27,"2026-09-08 00:10:39 UTC"
"US-HB3","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-HB3.csv","ok","",9.4,"2026-09-08 00:10:48 UTC"
"US-HWB","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-HWB.csv","ok","",7.55,"2026-09-08 00:10:56 UTC"
"US-Ha1","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-Ha1.csv","ok","",48.8,"2026-09-08 00:11:45 UTC"
"US-Hn2","D:/OneDrive - UW-Madison/Research/ET Synchrony/Data/02_AMF_cleaned/AMF_Hourly/AMF_sites_hourly_update/AMF_hourly_US-Hn2.csv","ok","",5.46,"2026-09-08 00:11:50 UTC"
