"Site_ID","scale","variable_set","n_time_steps","n_simultaneous","fraction_of_all_steps","overlap_start","overlap_end","overlap_span_steps","fraction_complete_within_span","longest_contiguous_run","n_contiguous_segments"
"US-A32","hourly","ET + soil water potential",17504,13593,0.776565356489945,"2015-06-16","2017-06-15",17503,0.776609724047306,1816,84
"US-A32","hourly","ET + VPD",17504,13593,0.776565356489945,"2015-06-16","2017-06-15",17503,0.776609724047306,1816,84
"US-A32","hourly","ET + air temperature",17504,13593,0.776565356489945,"2015-06-16","2017-06-15",17503,0.776609724047306,1816,84
"US-A32","hourly","ET + net radiation",17504,13483,0.770281078610603,"2015-06-16","2017-06-14",17491,0.77085358184209,1816,80
"US-A32","hourly","ET + all core drivers",17504,13593,0.776565356489945,"2015-06-16","2017-06-15",17503,0.776609724047306,1816,84
"US-A32","hourly","ET + all drivers including net radiation",17504,13483,0.770281078610603,"2015-06-16","2017-06-14",17491,0.77085358184209,1816,80
"US-A74","hourly","ET + soil water potential",15353,11389,0.741809418354719,"2016-01-27","2017-10-23",15244,0.747113618472842,2053,41
"US-A74","hourly","ET + VPD",15353,11389,0.741809418354719,"2016-01-27","2017-10-23",15244,0.747113618472842,2053,41
"US-A74","hourly","ET + air temperature",15353,11389,0.741809418354719,"2016-01-27","2017-10-23",15244,0.747113618472842,2053,41
"US-A74","hourly","ET + net radiation",15353,10777,0.70194750211685,"2016-01-27","2017-10-22",15225,0.707848932676519,2053,23
"US-A74","hourly","ET + all core drivers",15353,11389,0.741809418354719,"2016-01-27","2017-10-23",15244,0.747113618472842,2053,41
"US-A74","hourly","ET + all drivers including net radiation",15353,10777,0.70194750211685,"2016-01-27","2017-10-22",15225,0.707848932676519,2053,23
"US-AR1","hourly","ET + soil water potential",32215,29348,0.911004190594444,"2009-04-29","2012-12-31",32214,0.911032470354504,5349,56
"US-AR1","hourly","ET + VPD",32215,29344,0.910880024833152,"2009-04-29","2012-12-31",32214,0.910908300738809,5349,58
"US-AR1","hourly","ET + air temperature",32215,29348,0.911004190594444,"2009-04-29","2012-12-31",32214,0.911032470354504,5349,56
"US-AR1","hourly","ET + net radiation",32215,28342,0.879776501629676,"2009-06-04","2012-12-30",31337,0.904426077799406,5335,50
"US-AR1","hourly","ET + all core drivers",32215,29344,0.910880024833152,"2009-04-29","2012-12-31",32214,0.910908300738809,5349,58
"US-AR1","hourly","ET + all drivers including net radiation",32215,28342,0.879776501629676,"2009-06-04","2012-12-30",31337,0.904426077799406,5335,50
"US-AR2","hourly","ET + soil water potential",28612,25183,0.880155179644904,"2009-04-29","2012-04-13",25923,0.971453921228253,4757,86
"US-AR2","hourly","ET + VPD",28612,26873,0.939221305745841,"2009-04-29","2012-08-03",28611,0.939254133025759,4757,88
"US-AR2","hourly","ET + air temperature",28612,26873,0.939221305745841,"2009-04-29","2012-08-03",28611,0.939254133025759,4757,88
"US-AR2","hourly","ET + net radiation",28612,26834,0.937858241297358,"2009-04-29","2012-08-02",28587,0.938678420260958,4757,86
"US-AR2","hourly","ET + all core drivers",28612,25183,0.880155179644904,"2009-04-29","2012-04-13",25923,0.971453921228253,4757,86
"US-AR2","hourly","ET + all drivers including net radiation",28612,25155,0.879176569271634,"2009-04-29","2012-04-12",25899,0.971273022124406,4757,85
"US-ARM","hourly","ET + soil water potential",184063,154773,0.840869702221522,"2003-01-01","2023-12-31",184062,0.840874270626202,4194,651
"US-ARM","hourly","ET + VPD",184063,167332,0.909101774935756,"2003-01-01","2023-12-31",184062,0.909106714042008,8949,495
"US-ARM","hourly","ET + air temperature",184063,167393,0.909433183203577,"2003-01-01","2023-12-31",184062,0.909438124110354,8949,490
"US-ARM","hourly","ET + net radiation",184063,127768,0.694153632180286,"2007-04-21","2023-12-31",146357,0.872988651038215,4194,233
"US-ARM","hourly","ET + all core drivers",184063,150338,0.816774691274183,"2003-01-01","2023-12-31",184062,0.816779128771827,4194,667
"US-ARM","hourly","ET + all drivers including net radiation",184063,112428,0.610812602206853,"2007-04-21","2023-12-31",146357,0.768176445267394,4194,379
"US-ARb","hourly","ET + soil water potential",14460,0,0,NA,NA,0,NA,0,0
"US-ARb","hourly","ET + VPD",14460,14227,0.983886583679115,"2005-03-09","2006-11-01",14452,0.984431220592306,5492,39
"US-ARb","hourly","ET + air temperature",14460,14227,0.983886583679115,"2005-03-09","2006-11-01",14452,0.984431220592306,5492,39
"US-ARb","hourly","ET + net radiation",14460,14193,0.981535269709544,"2005-03-09","2006-10-31",14428,0.983712226226781,5492,40
"US-ARb","hourly","ET + all core drivers",14460,0,0,NA,NA,0,NA,0,0
"US-ARb","hourly","ET + all drivers including net radiation",14460,0,0,NA,NA,0,NA,0,0
"US-ARc","hourly","ET + soil water potential",14480,0,0,NA,NA,0,NA,0,0
"US-ARc","hourly","ET + VPD",14480,14470,0.999309392265193,"2005-03-07","2006-11-01",14479,0.999378410111196,7820,5
"US-ARc","hourly","ET + air temperature",14480,14470,0.999309392265193,"2005-03-07","2006-11-01",14479,0.999378410111196,7820,5
"US-ARc","hourly","ET + net radiation",14480,14446,0.997651933701658,"2005-03-08","2006-10-31",14456,0.999308245711123,5014,6
"US-ARc","hourly","ET + all core drivers",14480,0,0,NA,NA,0,NA,0,0
"US-ARc","hourly","ET + all drivers including net radiation",14480,0,0,NA,NA,0,NA,0,0
